breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Birthday,-1,0.9570859674428192,0.0333333333333333,Trend,Shape,0.0319028655814273,Count of persons,4,1458,"[-0.17723072820601687, -0.05672581557445241]","[-0.012447289370961118, 0.0035265999034681636]","[0.042354226691443085, -0.026534289791639954]","[-4.816979885101318, 0.5265033841133118]",-4.816979885101318,0.5265033841133118,"[1.3967436911138424, -0.7099530767583585]","[-0.011269680979153316, -0.007013892671965232]","[-1.3404698675922442, -1.2974123910956412]","[-2.475274085998535, -0.4865099787712097]"
Birthday,-1,0.9420612506918368,0.0333333333333333,Trend,Shape,0.0314020416897279,Count of persons,5,1454,"[-0.14469473119284965, -0.08035426342838595]","[-0.006187189834309598, -0.013414834117522279]","[-0.07829651775773847, -0.009348304221332801]","[0.7418164014816284, -3.109220027923584]",0.7418164014816284,-3.109220027923584,"[-0.06320766940464495, -1.3935941492602524]","[-0.003204030194359975, 0.015524474484828344]","[-0.9978189670932841, -0.6526923993769436]","[5.001590728759766, -0.8270846605300903]"
Birthday,-1,0.9576214454088482,0.0333333333333333,Trend,Shape,0.0319207148469616,Count of persons,6,1457,"[-0.17853901039418413, -0.055209142122886364]","[-0.012720140692268005, 0.003896886123400068]","[0.023279199282249606, 0.027289089613714734]","[-4.256128311157227, -0.38197383284568787]",-4.2561283111572275,-0.3819738328456879,"[1.4486150873349757, -0.34271652437333877]","[-0.011861434001585373, -0.008291044038978602]","[-0.4620977202584356, 1.278258364016209]","[2.8843600749969482, 0.8728861808776855]"
Birthday,-1,0.9485639847549144,0.0333333333333333,Trend,Shape,0.0316187994918304,Count of persons,7,1439,"[-0.1483620223440794, -0.10963842874699832]","[0.0046688685458990365, -0.009063444224256942]","[-0.11302102467603162, -0.006463795514763897]","[1.285267949104309, 2.424084186553955]",1.285267949104309,2.424084186553955,"[0.8621096295895219, 0.01778344179434823]","[0.011357977395703163, -0.0024876190369787898]","[2.461455158442404, 1.746476589692945]","[7.777444839477539, 2.5770578384399414]"
Birthday,-1,0.9524764269842588,0.0333333333333333,Trend,Shape,0.0317492142328086,Count of persons,8,1449,"[-0.149410792370691, -0.07409566249163936]","[-0.006580419711195136, -0.013692914652189438]","[-0.06506924688524818, 0.026023701458193847]","[-1.2993981838226318, -3.605445384979248]",-1.2993981838226318,-3.605445384979248,"[0.3902263392238259, -1.4920549336300704]","[-0.003233710423916375, 0.01596024054431518]","[-0.9502008352000716, -0.6086143509958888]","[5.367546081542969, 0.20096419751644135]"
Birthday,-1,0.977974794965646,0.0333333333333333,Trend,Shape,0.0325991598321882,Count of persons,9,1465,"[-0.16946681783157877, -0.05842329157756683]","[-0.011841376510543, 0.002514427200890227]","[-0.014022658038653836, -0.008089652198711687]","[-4.314952850341797, 2.196479082107544]",-4.314952850341797,2.196479082107544,"[1.0735910932036232, -1.1273810134301103]","[-0.01149038316196077, -0.006926075870905381]","[-0.9778272605306788, -0.7437039221992079]","[2.295928478240967, -2.402381181716919]"
Birthday,-1,0.9936350463486652,0.0333333333333333,Trend,Shape,0.0331211682116221,Count of persons,10,1445,"[-0.14476654518118456, -0.10780891309562633]","[0.004283529182479703, -0.008703027390610851]","[-0.10417385768350594, -0.008432373948459639]","[1.6187458038330078, 1.3406803607940674]",1.6187458038330078,1.3406803607940674,"[-0.0682328244333669, -0.1725026491504768]","[0.007992182694586297, -0.0026820861673297622]","[-0.8589247052408217, -0.6090502347074862]","[5.15913724899292, 2.7272520065307617]"
Birthday,-1,0.969699462947388,0.0333333333333333,Trend,Shape,0.0323233154315796,Count of persons,11,1462,"[-0.1738450688758455, -0.06196818566587166]","[-0.013013448358565624, 0.0044232557821172885]","[-0.013325662162672624, 0.0226291568669933]","[-3.4382262229919434, -0.018710602074861526]",-3.438226222991944,-0.018710602074861526,"[1.380410821952484, -0.8602945752242791]","[-0.011772771868676098, -0.007881656951042686]","[-0.3905256387343961, 1.2800122968849017]","[1.9915841817855835, 0.5046145915985107]"
Birthday,-1,0.3167495893287765,0.1111111111111111,Trend,Shape,0.0351943988143085,Count of persons,12,77,"[-0.010671602011343047, -0.15563994669885114]","[0.023256603715725015, 0.000303818657314071]","[0.020451499564781605, 0.001879324142273647]","[3.4983062744140625, 11.208982467651367]",3.4983062744140625,11.208982467651367,"[1.1653752263818056, 2.050716190770418]","[0.02592746066879194, -0.011927227975213306]","[6.84083881824669, -1.2767464198389193]","[13.384788513183594, 5.2949652671813965]"
Marital Status,Never married,1.0,0.1111111111111111,Top1,Point,0.1111111111111111,Count of persons,58,77,"[-0.010671602011343047, -0.15563994669885114]","[0.02411405593035574, 0.0024273290732200804]","[0.020451499564781612, 0.0018793241422736362]","[4.638487339019775, 10.594736099243164]",4.638487339019775,10.594736099243164,"[1.1653752263818056, 2.050716190770418]","[0.02415943228123994, -0.01100018932543798]","[6.840838818246692, -1.27674641983892]","[14.59245777130127, 4.981051921844482]"
Birthday,2001,0.8982535672312324,0.1111111111111111,Outlier,Shape,0.0998059519145813,Count of persons,132,77,"[-0.010671602011343073, -0.15563994669885112]","[0.024114055930355743, 0.0024273290732200817]","[0.0204514995647816, 0.0018793241422736396]","[3.9060137271881104, 10.579595565795898]",3.9060137271881104,10.579595565795898,"[1.1653752263818056, 2.050716190770418]","[0.025927460668791976, -0.011927227975213287]","[6.840838818246692, -1.2767464198389185]","[14.562776565551758, 5.922224044799805]"
