breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
date,-1,0.984825308,0.004183964,trend,shape,0.0041204729999999,cases,5,45,"[-0.014870237610698755, -0.044338419492111085]","[-0.008221112610393747, 0.00622537107925081]","[-0.004488695729593466, -0.0009627613614098661]","[-2.3546502590179443, 0.5777541399002075]",-2.3546502590179443,0.5777541399002075,"[-6.934302139529135, -4.511106699787203]","[-0.005344620045850552, 0.006111610213259392]","[-2.9827959910651254, -1.96372291119016]","[-1.5663872957229614, -4.57004976272583]"
date,2021/1/22,0.99999975,0.004183964,change point,shape,0.004183963,cases,105,45,"[-0.014870237610201629, -0.04433841949215862]","[-0.008278658868681673, 0.006306089134180689]","[-0.004488695729593466, -0.0009627613614098679]","[-2.3546500205993652, 0.577754020690918]",-2.3546500205993652,0.577754020690918,"[-6.934302139529203, -4.511106699787251]","[-0.005374283197735859, 0.00725110743498305]","[-2.982795991065126, -1.9637229111901606]","[-1.5663872957229614, -4.57004976272583]"
date,2021/2/10,0.916238682,0.004183964,outlier,shape,0.003833509,cases,152,45,"[-0.014870237618233792, -0.044338419490047]","[-0.00822013498711073, 0.006220005769240237]","[-0.004488695729593465, -0.000962761361409867]","[-2.3546502590179443, 0.5777541995048523]",-2.3546502590179443,0.5777541995048523,"[-6.934302139529329, -4.511106699787343]","[-0.0053742831977358595, 0.007251107434983047]","[-2.9827959910651223, -1.9637229111901608]","[-1.5663872957229614, -4.5700507164001465]"
date,-1,0.982342103,0.004183964,trend,shape,0.004110084,cases,6,21517,"[-0.01611554442403295, -0.047510432086328956]","[-0.009590452738720666, 0.008878340220718477]","[-0.0006326896638098467, -0.0009548944232175491]","[-3.734295606613159, -8.754354476928711]",-3.734295606613159,-8.754354476928711,"[-9.347108661809433, -3.059438039150167]","[-0.004783498952377788, -0.0012379010050366666]","[0.8499256608735134, 0.090415879391839]","[2.4350740909576416, 0.018739070743322372]"
date,2021/1/15,0.999999998,0.004183964,change point,shape,0.004183964,cases,113,21517,"[-0.01611573732343157, -0.047510372853655065]","[-0.009590452738720643, 0.008878340220718503]","[-0.000632689663809848, -0.0009548944232175491]","[-3.7130355834960938, -8.77419662475586]",-3.7130355834960938,-8.77419662475586,"[-9.346892605233776, -3.0600221034245183]","[-0.004755639708088745, -0.001221686644561568]","[0.8499256608735127, 0.09041587939183898]","[2.4350178241729736, 0.019204851239919662]"
date,2021/2/10,0.921962383,0.004183964,outlier,shape,0.003857457,cases,156,21517,"[-0.016115622268663397, -0.04751040818378522]","[-0.009590452738720659, 0.00887834022071844]","[-0.0006326896638098463, -0.0009548944232175495]","[-3.7130355834960938, -8.77419662475586]",-3.7130355834960938,-8.77419662475586,"[-9.347108663257458, -3.059438035360321]","[-0.00475563970808874, -0.0012216866445615559]","[0.8499256608735118, 0.090415879391839]","[2.435046911239624, 0.01873750612139702]"
date,-1,0.992527196,0.004183964,trend,shape,0.004152698,cases,7,271,"[-0.015224619604036307, -0.04648056261928577]","[-0.0090836330437679, 0.007795825625277086]","[-0.004687495771507278, -0.00120982158004622]","[-3.57352614402771, -3.6053783893585205]",-3.57352614402771,-3.6053783893585205,"[-13.226250535506079, -9.754097096887563]","[-0.00517919447359294, -0.0014343257718741414]","[-2.9827959910651236, -1.9637229111901624]","[2.160966157913208, -7.393326759338379]"
date,2021/1/15,0.999999971,0.004183964,change point,shape,0.004183964,cases,118,271,"[-0.015224619600682714, -0.04648056262500267]","[-0.008856716923085352, 0.007392324789629137]","[-0.004687495771507276, -0.0012098215800462173]","[-3.57352614402771, -3.6053783893585205]",-3.57352614402771,-3.6053783893585205,"[-13.22625053556928, -9.754097096886468]","[-0.005166150121371904, -0.0014477120334488959]","[-2.982795991065126, -1.9637229111901624]","[2.160966396331787, -7.393326759338379]"
date,2021/2/10,0.936943961,0.004183964,outlier,shape,0.003920139,cases,154,271,"[-0.015224619604027165, -0.04648056261930148]","[-0.00892425607408313, 0.007423102708149992]","[-0.0046874957715072755, -0.0012098215800462183]","[-3.5857901573181152, -3.599776268005371]",-3.5857901573181152,-3.599776268005371,"[-13.226250535591628, -9.75409709688606]","[-0.005398299577886004, 0.0014693429908548077]","[-2.9827959910651245, -1.9637229111901622]","[2.160966157913208, -7.393326759338379]"
date,-1,0.988987155,0.004183964,trend,shape,0.0041378859999999,cases,8,88,"[-0.016638657298509538, -0.04457245618029378]","[-0.009083662809572854, 0.008130442941139186]","[-0.004472629752723826, -0.0007605487248656893]","[-5.47004508972168, -4.81941556930542]",-5.47004508972168,-4.81941556930542,"[-13.180010712947709, -1.0481711043680904]","[-0.005018335514738163, -0.016280589942765815]","[-2.9827959910651236, -1.9637229111901608]","[5.7874627113342285, -2.5624337196350098]"
