breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
Year,-1,0.038017469,0.018181818,trend,shape,0.000691227,Sales,0,128,"[-0.13640049594130013, -0.0446701094158354]","[0.012287506146813142, -0.004805760486393415]","[0.019027129464601014, -0.020399687312437294]","[-10.612141609191895, -18.422365188598633]",-10.612141609191895,-18.422365188598633,"[-3.0792567179110697, -1.8954088157208981]","[0.012158805044725787, -0.013286960214727774]","[-1.579179972284884, -0.7018991306223898]","[2.9250729084014893, 14.138181686401367]"
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,120,128,"[-0.1364008715235868, -0.044669257683381716]","[0.01228750614681313, -0.004805760486393403]","[0.019027129464601004, -0.020399687312437284]","[-10.60873794555664, -18.421241760253906]",-10.60873794555664,-18.421241760253906,"[-3.080164106947649, -1.8954355569837955]","[0.012158805044725792, -0.013486898475613077]","[-1.579179972284884, -0.7018991306223896]","[2.928107738494873, 14.13597583770752]"
Year,2007,0.933671743,0.018181818,outlier,shape,0.01697585,Sales,170,128,"[-0.13640096795412535, -0.044669039034129464]","[0.012287506146813143, -0.004476802274500994]","[0.019027129464601018, -0.02039968731243729]","[-10.612141609191895, -18.422365188598633]",-10.612141609191895,-18.422365188598633,"[-3.0801641069476497, -1.8954355569837975]","[0.012158805044725805, -0.013486898475613069]","[-1.5791799722848843, -0.7018991306223895]","[2.933251142501831, 14.131560325622559]"
Year,-1,0.015963763,0.054545455,trend,shape,0.000870751,Sales,1,107,"[-0.08042989431351742, -0.04177336471906581]","[0.012287506146813166, 0.012375251979053982]","[0.13795730085154334, -0.04561399913904137]","[-11.312582015991211, 4.289118766784668]",-11.312582015991211,4.289118766784668,"[-1.732978909009261, 2.309499068572051]","[0.012158805044725798, 0.015033567993313172]","[-0.08248145157252881, 2.8679474930008846]","[11.525799751281738, -1.05351722240448]"
Year,2008,1.0,0.054545455,change point,shape,0.054545455,Sales,145,107,"[-0.08090481745705969, -0.04004579062843209]","[0.012287506146813168, 0.010879977373246218]","[0.13795730085154337, -0.04561399913904137]","[-11.314597129821777, 4.28947114944458]",-11.314597129821777,4.28947114944458,"[-1.73297894103566, 2.3094990850092363]","[0.012158805044725796, 0.015033567993313172]","[-0.08248145157252816, 2.867947493000884]","[11.525821685791016, -1.0535322427749634]"
Year,2011,0.923642139,0.054545455,outlier,shape,0.05038048,Sales,195,107,"[-0.0804179214023284, -0.04181877388788201]","[0.01228750614681318, 0.012375251979053998]","[0.13795730085154334, -0.0456139991390414]","[-11.315521240234375, 4.289283752441406]",-11.315521240234375,4.289283752441406,"[-1.7329825306205722, 2.3095009273206393]","[0.012158805044725806, 0.015033567993313185]","[-0.08248145157252824, 2.8679474930008846]","[11.525825500488281, -1.0535320043563843]"
Year,-1,0.002183602,0.4,trend,shape,0.000873441,Sales,2,59,"[0.32090486930574025, -0.09904597847069832]","[0.01228750614681316, 0.04028323435592318]","[0.017492661445525623, 0.017847708033644456]","[13.460650444030762, 5.655989170074463]",13.460650444030762,5.655989170074463,"[5.767353380181932, -6.3037561125626596]","[0.012158805044725824, 0.04824612421101577]","[1.0378900730133453, 0.5446812172285161]","[12.324849128723145, -13.324015617370605]"
Year,2007,0.2196187489999999,0.4,top1,point,0.0878475,Sales,89,59,"[0.16890300801907726, 0.2909144424388873]","[0.012287506146813143, 0.04028323435592319]","[0.01749266144552561, 0.017847708033644463]","[13.072881698608398, 5.474279880523682]",13.072881698608398,5.474279880523682,"[5.76735338018185, -6.303756112562725]","[0.012158805044725813, 0.04824612421101583]","[1.0378900730133462, 0.5446812172285164]","[11.378850936889648, -13.024574279785156]"
Year,2010,1.0,0.4,change point,shape,0.4,Sales,129,59,"[0.17035021107742815, 0.2894086115450505]","[0.012287506146813164, 0.04028323435592319]","[0.017492661445525613, 0.01784770803364446]","[13.82577896118164, 5.656865119934082]",13.82577896118164,5.656865119934082,"[5.7673533801818335, -6.3037561125628]","[0.012158805044725834, 0.04824612421101583]","[1.0378900730133462, 0.5446812172285167]","[12.002216339111328, -11.837093353271484]"
Year,2007,0.903971956,0.4,outlier,shape,0.361588782,Sales,179,59,"[0.3209075953434603, -0.09887934066209958]","[0.012287506146813147, 0.04028323435592318]","[0.01749266144552562, 0.017847708033644452]","[12.864432334899902, 5.151949882507324]",12.864432334899902,5.151949882507324,"[5.7673533801819135, -6.303756112562619]","[0.012158805044725825, 0.048246124211015824]","[1.037890073013346, 0.5446812172285159]","[12.504908561706543, -11.997248649597168]"
Brand,BMW;*,0.902263406,0.054545455,correlation,compound shape,0.049214368,Sales,237,59,"[0.1857253369227268, 0.2533148273897438]","[0.01228750614681316, 0.04170518631673787]","[0.017667817529775254, 0.018104214142865848]","[14.240870475769043, 5.0799665451049805]",14.240870475769043,5.0799665451049805,"[5.762329649897134, -6.309653765662797]","[0.012158805044725813, 0.044574791420793056]","[1.037898259320408, 0.5446861558111777]","[11.509720802307129, -12.03650951385498]"
Brand,Toyota;*,0.721281521,0.072727273,correlation,compound shape,0.052456838,Sales,245,59,"[0.27168160877154374, 0.0884372229596467]","[0.012287506146813154, 0.04170518631673786]","[0.017712099719870675, 0.01816798059782775]","[13.972126960754395, 4.318187713623047]",13.972126960754395,4.318187713623047,"[5.769694742725447, -6.297087884437825]","[0.012158805044725818, 0.048291646495276994]","[1.0379004135418912, 0.5446874553897579]","[12.035417556762695, -12.609230041503906]"
Brand,BMW;Ford,0.973297649,0.054545455,correlation,compound shape,0.0530889629999999,Sales,249,59,"[0.30861048076479963, -0.07139080375989858]","[0.012287506146813157, 0.04170518631673786]","[0.017667817529775247, 0.018104214142865848]","[13.463635444641113, 4.25035285949707]",13.463635444641113,4.25035285949707,"[5.762329649897043, -6.30965376566295]","[0.012158805044725825, 0.044574791420793035]","[1.0378982593204078, 0.544686155811178]","[12.793567657470703, -12.442240715026855]"
Brand,GMC;*,0.918039772,0.072727273,correlation,compound shape,0.066766529,Sales,256,59,"[0.1823373441510144, 0.25772995007561206]","[0.012287506146813168, 0.04170518631673786]","[0.017712099719870665, 0.018167980597827753]","[14.214534759521484, 4.755646705627441]",14.214534759521484,4.755646705627441,"[5.762810294634314, -6.308765009617604]","[0.012158805044725825, 0.04829164649527701]","[1.0379004135418914, 0.5446874553897584]","[12.71916389465332, -12.975654602050781]"
Brand,Ford;*,0.958789852,0.072727273,correlation,compound shape,0.069730171,Sales,257,59,"[0.3084936363142273, -0.06795212147846459]","[0.01228750614681315, 0.041705186316737856]","[0.017712099719870658, 0.01816798059782776]","[13.106478691101074, 4.504702091217041]",13.106478691101074,4.504702091217041,"[5.769694742725585, -6.297087884437578]","[0.012158805044725818, 0.048291646495276994]","[1.0379004135418919, 0.5446874553897576]","[11.797272682189941, -13.352326393127441]"
Brand,Ford;GMC,0.924728453,0.072727273,correlation,compound shape,0.067252978,Sales,275,59,"[0.18718626990824885, 0.2515935312838825]","[0.012287506146813164, 0.04170518631673787]","[0.01771209971987067, 0.01816798059782775]","[13.61126708984375, 4.804582595825195]",13.61126708984375,4.804582595825195,"[5.769694742725625, -6.297087884437446]","[0.012158805044725801, 0.04829164649527701]","[1.0379004135418906, 0.544687455389758]","[11.267779350280762, -12.509562492370605]"
Year,-1,0.047839407,0.109090909,trend,shape,0.005218844,Sales,3,8,"[-0.015832859024405562, -0.09546118209172236]","[0.012287506146813149, 0.028922096031904026]","[0.018001726561354486, 0.01858370659771675]","[14.009601593017578, -2.755234479904175]",14.009601593017578,-2.755234479904175,"[-1.4972451946302845, -5.699289549209495]","[0.01215880504472583, 0.03535449349456913]","[1.0238359011411684, 0.5362381225587773]","[2.8235061168670654, -12.172995567321777]"
Year,2007,0.179931823,0.109090909,top1,point,0.019628926,Sales,67,8,"[-0.01580352866535824, -0.0953231122652372]","[0.012287506146813147, 0.028922096031904026]","[0.018001726561354472, 0.01858370659771675]","[13.960028648376465, -3.1939666271209717]",13.960028648376465,-3.1939666271209717,"[-1.497245194630361, -5.699289549209513]","[0.012158805044725801, 0.03244506274969043]","[1.0238359011411677, 0.5362381225587763]","[3.1276116371154785, -12.564838409423828]"
Year,2008,1.0,0.109090909,change point,shape,0.109090909,Sales,143,8,"[-0.01580370862406288, -0.09532396163548548]","[0.01228750614681314, 0.02892209603190402]","[0.018001726561354472, 0.01858370659771675]","[13.531773567199707, -2.508582592010498]",13.531773567199707,-2.508582592010498,"[-1.4972451946304945, -5.699289549209542]","[0.012158805044725824, 0.02892515721026126]","[1.0238359011411686, 0.5362381225587776]","[3.8107643127441406, -12.159151077270508]"
Year,2007,0.913833439,0.109090909,outlier,shape,0.099690921,Sales,193,8,"[-0.015840724762883757, -0.09549808544244057]","[0.012287506146813135, 0.028922096031904026]","[0.018001726561354466, 0.018583706597716753]","[13.563776969909668, -3.4264707565307617]",13.563776969909668,-3.4264707565307617,"[-1.4972451944842207, -5.699289549174093]","[0.01215880504472583, 0.035354493494569095]","[1.023835901141168, 0.5362381225587768]","[3.6189873218536377, -12.53109073638916]"
Category,SUV,0.51091271,0.109090909,attribution,point,0.055735932,Sales,219,8,"[-0.015802394860680687, -0.09531776028500802]","[0.012287506146813149, 0.02892209603190402]","[0.018001726561354455, 0.018583706597716763]","[13.531773567199707, -2.508582592010498]",13.531773567199707,-2.508582592010498,"[-1.4972451946304084, -5.69928954920953]","[0.012158805044725825, 0.0353544934945691]","[1.0238359011411675, 0.5362381225587771]","[2.976651191711426, -11.749107360839844]"
Category,SUV;*,0.8420804120000001,0.072727273,correlation,compound shape,0.061242212,Sales,255,8,"[-0.023550498147297903, -0.009796932153965203]","[0.012287506146813149, 0.028878134464802127]","[0.018000493118323208, 0.018581898501858526]","[13.372607231140137, -3.294891119003296]",13.372607231140137,-3.294891119003296,"[-1.498452322186698, -5.699532845885504]","[0.012158805044725843, 0.033740669917652066]","[1.0238358420675957, 0.5362380867721309]","[3.425882339477539, -11.864105224609375]"
Year,-1,0.049889674,0.018181818,trend,shape,0.000907085,Sales,4,126,"[-0.16525012847765222, -0.053040344304874074]","[0.01228750614681313, -0.014056304763718861]","[0.01809521717513836, 0.01871962694490935]","[-8.449106216430664, -18.00796127319336]",-8.449106216430664,-18.00796127319336,"[-4.573088739531049, -1.189274498456905]","[0.0121588050447258, -0.014336337445042499]","[1.037919054735874, 0.5446987010745901]","[7.472153663635254, 13.27894115447998]"
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,101,126,"[-0.16524973609478352, -0.05304547883534888]","[0.012287506146813135, -0.014056304763718875]","[0.01809521717513836, 0.018719626944909352]","[-7.771933078765869, -17.721139907836914]",-7.771933078765869,-17.721139907836914,"[-4.573088739531047, -1.1892744984569044]","[0.012158805044725803, -0.014336337445042518]","[1.0379190547358745, 0.5446987010745898]","[7.684332370758057, 13.66611385345459]"
Year,2008,0.928486425,0.018181818,outlier,shape,0.016881571,Sales,171,126,"[-0.16524988438375574, -0.05304353781644498]","[0.012287506146813136, -0.01405630476371887]","[0.01809521717513836, 0.018719626944909352]","[-8.470293045043945, -18.39649772644043]",-8.470293045043945,-18.39649772644043,"[-4.573088739531049, -1.189274498456905]","[0.0121588050447258, -0.014336337445042513]","[1.0379190547358739, 0.5446987010745904]","[7.4348931312561035, 14.052590370178223]"
Year,-1,0.0516710779999999,0.018181818,trend,shape,0.0009394739999999,Sales,5,108,"[-0.14264168729461585, -0.057673011583851914]","[0.012287506146813159, -0.007103347668088566]","[0.0025114905578246596, -0.044812872016996394]","[-12.717906951904297, -9.749290466308594]",-12.717906951904297,-9.749290466308594,"[-3.13288745402802, 0.7196372800955068]","[0.012158805044725798, -0.002663785850799532]","[-1.5791799722848847, -0.7018991306223903]","[10.496784210205078, 3.0923643112182617]"
Year,2008,0.549648603,0.018181818,top1,point,0.009993611,Sales,55,108,"[-0.1426418887346631, -0.05767257720231102]","[0.01228750614681315, -0.007641812981023929]","[0.0025114905578246523, -0.04481287201699637]","[-12.725814819335938, -9.742334365844727]",-12.725814819335938,-9.742334365844727,"[-3.1328874540279763, 0.7196372800955365]","[0.012158805044725801, -0.0026637858507995143]","[-1.5791799722848845, -0.7018991306223905]","[10.496073722839355, 3.0818989276885986]"
Year,2008,0.961971544,0.018181818,outlier,shape,0.017490392,Sales,161,108,"[-0.14264172286565321, -0.05767293974965278]","[0.012287506146813138, -0.007145258318496915]","[0.00251149055782464, -0.04481287201699637]","[-12.725433349609375, -9.742254257202148]",-12.725433349609375,-9.742254257202148,"[-3.1328874540279728, 0.7196372800955455]","[0.012158805044725813, -0.002663785850799516]","[-1.5791799722848854, -0.7018991306223907]","[10.498112678527832, 3.1013426780700684]"
Year,-1,0.013040069,0.072727273,trend,shape,0.0009483689999999,Sales,6,114,"[-0.0558634872393626, -0.017061333986136226]","[0.01228750614681317, 0.010524137391270677]","[-0.08804279180473194, -0.06823837801217365]","[8.490252494812012, -6.99302864074707]",8.490252494812012,-6.99302864074707,"[0.6885780693941943, -1.3118307156465467]","[0.012158805044725824, 0.01603892568910698]","[-1.366027057058661, -0.4286776909495767]","[-4.5982747077941895, 16.75794792175293]"
Year,2011,0.20853482,0.072727273,top1,point,0.0151661689999999,Sales,69,114,"[-0.0558185095484275, -0.017244578602619895]","[0.012287506146813168, 0.010524137391270682]","[-0.08804279180473194, -0.06823837801217365]","[8.490252494812012, -6.99302864074707]",8.490252494812012,-6.99302864074707,"[0.6885780694572974, -1.3118307151625246]","[0.0121588050447258, 0.016038925689107]","[-1.3660270570586615, -0.4286776909495774]","[-4.5982747077941895, 16.75794792175293]"
Year,2010,1.0,0.072727273,change point,shape,0.072727273,Sales,113,114,"[-0.05584459338874897, -0.017136946998257255]","[0.012287506146813164, 0.016046405170614165]","[-0.08804279180473197, -0.06823837801217364]","[8.490252494812012, -6.99302864074707]",8.490252494812012,-6.99302864074707,"[0.6885772555510915, -1.3118369580935612]","[0.012158805044725808, 0.01603892568910699]","[-1.3660270570586615, -0.4286776909495774]","[-4.5982747077941895, 16.75794792175293]"
Year,2011,0.911442867,0.072727273,outlier,shape,0.066286754,Sales,163,114,"[-0.05581750612863887, -0.017248783405215837]","[0.01228750614681316, 0.016046405170614165]","[-0.08804279180473193, -0.06823837801217365]","[8.490252494812012, -6.99302864074707]",8.490252494812012,-6.99302864074707,"[0.6885772557829395, -1.31183695631522]","[0.012158805044725789, 0.016038925689106972]","[-1.3660270570586615, -0.42867769094957703]","[-4.5982747077941895, 16.75794792175293]"
Year,-1,0.2327975089999999,0.036363636,trend,shape,0.008465364,Sales,7,119,"[-0.12213179368173337, -0.017806655387942565]","[0.01228750614681315, 0.012225305207312432]","[-0.003108344053264581, -0.03649632371267487]","[2.735269546508789, -3.091007947921753]",2.735269546508789,-3.091007947921753,"[-2.212925114774311, -3.0429692570957356]","[0.012158805044725803, 0.000469750051560911]","[-0.4505582506542646, -1.8746661011022199]","[-0.05175815522670746, -4.2735772132873535]"
Year,2007,0.519407929,0.036363636,top1,point,0.018887561,Sales,88,119,"[-0.11447953471290753, -0.027874556501991134]","[0.012287506146813133, 0.010466823925316162]","[-0.0031083440532645727, -0.036496323712674875]","[2.7352712154388428, -3.091007709503174]",2.7352712154388428,-3.091007709503174,"[-2.212925114774311, -3.0429692570957334]","[0.012158805044725796, 0.0004697500515609218]","[-0.4505582506542644, -1.87466610110222]","[-0.11473946273326874, -4.2739644050598145]"
Year,2008,1.0,0.036363636,change point,shape,0.036363636,Sales,116,119,"[-0.11416013931771946, -0.0284537079132921]","[0.012287506146813147, 0.012572156115709379]","[-0.0031083440532645792, -0.036496323712674875]","[2.735271453857422, -3.0910074710845947]",2.735271453857422,-3.0910074710845947,"[-2.212925114769966, -3.0429692570935383]","[0.012158805044725805, -0.0028076158141280777]","[-0.45055825065426425, -1.87466610110222]","[-0.03666660189628601, -4.112303733825684]"
Year,2007,0.959414881,0.036363636,outlier,shape,0.0348878139999999,Sales,184,119,"[-0.11449866344971017, -0.027839907438801128]","[0.012287506146813157, 0.012880534278910108]","[-0.0031083440532645745, -0.036496323712674875]","[2.7352712154388428, -3.0910074710845947]",2.7352712154388428,-3.0910074710845947,"[-2.212925114029103, -3.04296925672002]","[0.012158805044725808, -0.00280761581412808]","[-0.45055825065426547, -1.8746661011022205]","[-0.11821778118610382, -4.108770370483398]"
Year,-1,0.30644848,0.018181818,trend,shape,0.0055717909999999,Sales,8,103,"[-0.1480122852968288, -0.07214880161089851]","[0.012287506146813162, -0.005904084601865314]","[-0.04306625489742443, -0.02501117341386598]","[-9.409830093383789, -6.47320556640625]",-9.409830093383789,-6.47320556640625,"[-2.1114829648318874, -0.1873213591785397]","[0.012158805044725789, -0.0029320566425744153]","[-1.5128029964299516, -0.5228439946256066]","[8.45724105834961, 5.529325485229492]"
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,104,103,"[-0.14801259130504268, -0.07214896249924035]","[0.012287506146813156, -0.005904084601865315]","[-0.04306625489742446, -0.025011173413865974]","[-9.415139198303223, -6.474037170410156]",-9.415139198303223,-6.474037170410156,"[-2.111482964831799, -0.18732135917757134]","[0.01215880504472579, -0.002932056642574419]","[-1.5128029964299514, -0.5228439946256064]","[8.45803165435791, 5.526923179626465]"
Year,2007,0.942185897,0.018181818,outlier,shape,0.017130653,Sales,194,103,"[-0.14799958892348025, -0.07214203867289128]","[0.012287506146813162, -0.005904084601865301]","[-0.04306625489742445, -0.025011173413865963]","[-9.40790843963623, -6.476982116699219]",-9.40790843963623,-6.476982116699219,"[-2.1114829648317985, -0.1873213591775629]","[0.012158805044725787, -0.0029320566425744205]","[-1.5128029964299512, -0.5228439946256057]","[8.458910942077637, 5.5240888595581055]"
Year,-1,0.049889674,0.018181818,trend,shape,0.000907085,Sales,9,61,"[-0.16524983736694593, -0.05304415316344088]","[0.012287506146813131, -0.01416868009736616]","[0.018095217175138362, 0.018719626944909345]","[-7.758113384246826, -18.472318649291992]",-7.758113384246826,-18.472318649291992,"[-4.573088739531052, -1.189274498456905]","[0.012158805044725792, -0.0143363374450425]","[1.037919054735874, 0.5446987010745906]","[6.654818058013916, 13.471419334411621]"
Year,2008,1.0,0.018181818,change point,shape,0.018181818,Sales,100,61,"[-0.16524939900736946, -0.05304989372929665]","[0.012287506146813143, -0.01416868009736616]","[0.018095217175138366, 0.01871962694490935]","[-7.60996150970459, -18.04789161682129]",-7.60996150970459,-18.04789161682129,"[-4.573088739531052, -1.189274498456905]","[0.012158805044725801, -0.014336337445042516]","[1.037919054735873, 0.5446987010745898]","[7.029362678527832, 14.194549560546875]"
Year,2008,0.928486425,0.018181818,outlier,shape,0.016881571,Sales,159,61,"[-0.16524982487823442, -0.05304431662525196]","[0.01228750614681314, -0.01422325060049339]","[0.018095217175138366, 0.01871962694490935]","[-8.195093154907227, -18.64866065979004]",-8.195093154907227,-18.64866065979004,"[-4.573088739531052, -1.189274498456905]","[0.0121588050447258, -0.014336337445042516]","[1.037919054735875, 0.5446987010745905]","[6.652915954589844, 13.939177513122559]"
Brand,Mazda,0.952209648,0.018181818,attribution,point,0.017312903,Sales,233,61,"[-0.16525011503953818, -0.05304052006772252]","[0.012287506146813154, -0.014168680097366165]","[0.01809521717513835, 0.018719626944909352]","[-8.219139099121094, -17.72550392150879]",-8.219139099121094,-17.72550392150879,"[-4.573088739531052, -1.189274498456905]","[0.012158805044725801, -0.014336337445042499]","[1.0379190547358745, 0.5446987010745905]","[7.022433757781982, 13.200907707214355]"
Year,-1,0.1057649369999999,0.018181818,trend,shape,0.0019229989999999,Sales,10,106,"[-0.1450569423824818, -0.049823480414960764]","[0.012287506146813152, -0.007821907361739665]","[-0.022377095606930728, 0.008104233874389041]","[-8.305867195129395, -4.7733869552612305]",-8.305867195129395,-4.7733869552612305,"[-4.858327477987454, -0.6638541152739101]","[0.012158805044725789, -0.0039512703034971465]","[-1.5791799722848847, -0.7018991306223905]","[3.18052077293396, 0.1463848054409027]"
Year,2010,1.0,0.018181818,change point,shape,0.018181818,Sales,110,106,"[-0.1451433327605932, -0.04968179286704652]","[0.012287506146813164, -0.00772351274851187]","[-0.02237709560693071, 0.008104233874389037]","[-8.302035331726074, -4.775687217712402]",-8.302035331726074,-4.775687217712402,"[-4.859400788299438, -0.6648355620371887]","[0.01215880504472578, -0.0018547103022131762]","[-1.579179972284884, -0.7018991306223898]","[3.180826187133789, 0.14681579172611237]"
Year,2010,0.909549455,0.018181818,outlier,shape,0.016537263,Sales,153,106,"[-0.14507744730812136, -0.04979058845485956]","[0.012287506146813157, -0.0075181826207114544]","[-0.022377095606930717, 0.008104233874389037]","[-8.302733421325684, -4.76700496673584]",-8.302733421325684,-4.76700496673584,"[-4.859400788299438, -0.6648355620371891]","[0.012158805044725789, -0.003951270303497145]","[-1.5791799722848845, -0.7018991306223902]","[3.1812145709991455, 0.15121158957481384]"
Year,-1,0.100707423,0.036363636,trend,shape,0.003662088,Sales,11,109,"[-0.1225857071748156, -0.08195724134882615]","[0.012287506146813173, 0.0012592083753720517]","[-0.08382368776407521, -0.06840447611331574]","[-19.257707595825195, -9.468027114868164]",-19.257707595825195,-9.468027114868164,"[-1.27250534367857, 0.799386462572296]","[0.012158805044725798, -0.001515854052152488]","[1.0259619784220952, 0.5374951949112113]","[18.0473690032959, -0.1972362995147705]"
Year,2007,0.370315842,0.036363636,top1,point,0.013466031,Sales,59,109,"[-0.12254398165355465, -0.08192225468788975]","[0.012287506146813168, 0.0012592083753720459]","[-0.08382368776407516, -0.06840447611331578]","[-19.330734252929688, -9.908882141113281]",-19.330734252929688,-9.908882141113281,"[-1.2725056104191235, 0.7993868239487132]","[0.012158805044725801, -0.0015158540521524825]","[1.0259619784220946, 0.5374951949112112]","[18.047367095947266, -0.19723708927631378]"
Year,2008,1.0,0.036363636,change point,shape,0.036363636,Sales,126,109,"[-0.12382932701235233, -0.08310812815531583]","[0.012287506146813173, 0.0012592083753720502]","[-0.08382368776407517, -0.06840447611331575]","[-19.33072853088379, -9.908857345581055]",-19.33072853088379,-9.908857345581055,"[-1.2725056104338945, 0.7993868239687271]","[0.012158805044725782, -0.0015158540521524814]","[1.0259619784220946, 0.5374951949112111]","[18.438861846923828, -0.4424945116043091]"
Year,2007,0.936437944,0.036363636,outlier,shape,0.034052289,Sales,176,109,"[-0.12383004878179031, -0.08310879852254462]","[0.012287506146813168, 0.0012592083753720574]","[-0.08382368776407519, -0.06840447611331577]","[-19.24810028076172, -9.469684600830078]",-19.24810028076172,-9.469684600830078,"[-1.2725056104282113, 0.7993868239610258]","[0.012158805044725798, -0.001515854052152486]","[1.0259619784220941, 0.5374951949112111]","[18.438861846923828, -0.44249483942985535]"
