breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid
Registration,yes,0.945943823,0.111055901,attribution,point,0.105052643,Price,228
Registration,yes,0.948554486,0.195031056,attribution,point,0.184997583,Price,229
Engine Type,Diesel,0.696505756,0.20173913,attribution,point,0.140512466,Price,230
Registration,yes,0.945259053,1.0,attribution,point,0.945259053,Price,231
Registration,yes,0.947463605,0.146583851,attribution,point,0.138882864,Price,232
Registration,yes,0.948449264,0.15552795,attribution,point,0.14751037,Price,233
Engine Type,Diesel,0.906657579,0.149813665,attribution,point,0.135829695,Price,234
Engine Type,Petrol,0.570439037,0.381118012,attribution,point,0.217404592,Price,235
Registration,yes,0.947396592,0.082981366,attribution,point,0.078616264,Price,236
Registration,yes,0.939398874,0.159006211,attribution,point,0.149370256,Price,237
Engine Type,Diesel,0.574949112,0.197515528,attribution,point,0.113561377,Price,238
Registration,yes,0.941967009,0.462360248,attribution,point,0.4355281,Price,239
Engine Type,Diesel,0.906333142,0.15552795,attribution,point,0.140960136,Price,240
Registration,yes,0.948155817,0.20447205,attribution,point,0.193871363,Price,241
Engine Type,Petrol,0.584595468,0.337888199,attribution,point,0.19752791,Price,242
Registration,yes,0.949148335,0.204720497,attribution,point,0.194310119,Price,243
Registration,yes,0.936317964,0.104347826,attribution,point,0.097702744,Price,244
Registration,yes,0.951436709,0.126708075,attribution,point,0.120554713,Price,245
Registration,yes,0.926496803,0.100869565,attribution,point,0.09345533,Price,246
Registration,yes,0.948902772,0.364720497,attribution,point,0.346084291,Price,247
Registration,yes,0.949529265,0.097639752,attribution,point,0.092711802,Price,248
Registration,yes,0.945112525,0.110559006,attribution,point,0.104490702,Price,249
Year,-1,0.385917425,0.024099379,trend,shape,0.00930037,Mileage,300
Year,-1,0.399984754,0.025590062,trend,shape,0.010235635,Mileage,301
Year,-1,0.145773872,0.066583851,trend,shape,0.009706186,Mileage,302
Year,-1,0.126763488,0.094161491,trend,shape,0.011936239,Mileage,303
Year,-1,0.890376051,0.011925466,trend,shape,0.010618149,Mileage,304
Year,-1,0.890376051,0.011925466,trend,shape,0.010618149,Mileage,305
Year,-1,0.399984754,0.025590062,trend,shape,0.010235635,Mileage,306
Year,-1,0.216105378,0.070559006,trend,shape,0.015248181,Mileage,307
Year,-1,0.171146665,0.111055901,trend,shape,0.019006847,Mileage,308
Year,-1,0.424210769,0.038757764,trend,shape,0.016441461,Mileage,309
Year,-1,0.172060365,0.065093168,trend,shape,0.011199954,Mileage,310
Year,-1,0.956956452,0.011180124,trend,shape,0.010698892,Mileage,311
Year,-1,0.424210769,0.038757764,trend,shape,0.016441461,Mileage,312
Year,-1,0.080660997,0.132919255,trend,shape,0.0107214,Mileage,313
Year,-1,0.17156811,0.197515528,trend,shape,0.033887366,Mileage,314
Year,-1,0.189855917,0.126708075,trend,shape,0.024056278,Mileage,315
Year,-1,0.243819568,0.113291925,trend,shape,0.027622788,Mileage,316
Year,-1,0.239643736,0.110559006,trend,shape,0.026494773,Mileage,317
Year,-1,0.188074151,0.125714286,trend,shape,0.023643608,Mileage,318
Year,-1,0.125481438,0.140869565,trend,shape,0.017676516,Mileage,319
Year,-1,0.144130765,0.135900621,trend,shape,0.019587461,Mileage,320
Year,-1,0.198166131,0.099627329,trend,shape,0.019742762,Mileage,321
Year,-1,0.179412626,0.068819876,trend,shape,0.012347155,Mileage,322
Year,-1,0.235371486,0.09515528,trend,shape,0.022396839,Mileage,323
Year,-1,0.956956452,0.011180124,trend,shape,0.010698892,Mileage,324
Year,-1,0.252648752,0.097888199,trend,shape,0.024731331,Mileage,325
Year,-1,0.138367764,0.140621118,trend,shape,0.01945743,Mileage,326
Year,-1,0.138990864,0.146583851,trend,shape,0.020373816,Mileage,327
Year,-1,0.211475888,0.185838509,trend,shape,0.039300364,Mileage,328
Year,-1,0.247599089,0.20447205,trend,shape,0.050627093,Mileage,329
Year,-1,0.333654699,0.20173913,trend,shape,0.067311209,Mileage,330
Year,-1,0.370841964,1.0,trend,shape,0.370841964,Mileage,331
Year,-1,0.239383847,0.104347826,trend,shape,0.024979184,Mileage,332
Year,-1,0.195005468,0.381118012,trend,shape,0.074320097,Mileage,333
Year,-1,0.2240506,0.337888199,trend,shape,0.075704054,Mileage,334
Year,-1,0.275266817,0.364720497,trend,shape,0.10039545,Mileage,335
Year,-1,0.185890221,0.149813665,trend,shape,0.027848895,Mileage,336
Year,-1,0.335515938,0.21863354,trend,shape,0.073355037,Mileage,337
Year,-1,0.243899458,0.123975155,trend,shape,0.030237473,Mileage,338
Year,-1,0.339922544,0.462360248,trend,shape,0.157166672,Mileage,339
Year,-1,0.231507862,0.090186335,trend,shape,0.020878846,Mileage,340
Year,-1,0.171524107,0.15552795,trend,shape,0.026676793,Mileage,341
Year,-1,0.261993788,0.092173913,trend,shape,0.024148993,Mileage,342
Year,-1,0.167189454,0.204720497,trend,shape,0.034227108,Mileage,343
Year,-1,0.277570998,0.187826087,trend,shape,0.052135074,Mileage,344
Year,-1,0.271779884,0.346086957,trend,shape,0.094059473,Mileage,345
Year,-1,0.176166539,0.081490683,trend,shape,0.014355932,Mileage,346
Year,-1,0.379629575,0.907826087,trend,shape,0.344637631,Mileage,347
Year,-1,0.389508837,0.398509317,trend,shape,0.1552229,Mileage,348
Year,-1,0.207036686,0.195031056,trend,shape,0.040378583,Mileage,349
Year,2012,0.756351514,0.03378882,top1,point,0.025556225,Mileage,350
Body,sedan,0.720771053,0.03552795,top1,point,0.025607518,Mileage,351
Year,2012,0.756351514,0.03378882,top1,point,0.025556225,Mileage,352
Engine Type,Gas,0.908137684,0.032546584,top1,point,0.029556779,Mileage,353
Engine Type,Diesel,0.996505024,0.026086957,top1,point,0.025995783,Mileage,354
Body,sedan,0.875894511,0.035279503,top1,point,0.030901123,Mileage,355
Body,sedan,0.986473728,0.031552795,top1,point,0.031126003,Mileage,356
Body,sedan,0.986473728,0.031552795,top1,point,0.031126003,Mileage,357
Model,Vito,0.855364811,0.038757764,top1,point,0.033152027,Mileage,358
Body,sedan,0.986473728,0.031552795,top1,point,0.031126003,Mileage,359
Engine Type,Petrol,0.437194303,0.059875776,top1,point,0.026177348,Mileage,360
Engine Type,Gas,0.978787087,0.031801242,top1,point,0.031126645,Mileage,361
Engine Type,Diesel,0.669868814,0.092173913,top1,point,0.06174443,Mileage,362
Body,sedan,0.959726762,0.039503106,top1,point,0.037912188,Mileage,363
Body,sedan,0.998208715,0.04,top1,point,0.039928349,Mileage,364
Body,sedan,0.899610135,0.037763975,top1,point,0.033972855,Mileage,365
Body,van,0.652450403,0.049192547,top1,point,0.032095697,Mileage,366
Body,sedan,0.998208715,0.04,top1,point,0.039928349,Mileage,367
Model,Vito,0.842715217,0.040745342,top1,point,0.034336719,Mileage,368
Engine Type,Diesel,0.998972327,0.033540373,top1,point,0.033505904,Mileage,369
Engine Type,Diesel,0.475953734,0.094161491,top1,point,0.044816513,Mileage,370
Body,sedan,0.986473728,0.031552795,top1,point,0.031126003,Mileage,371
Engine Type,Diesel,0.998984675,0.03378882,top1,point,0.033754513,Mileage,372
Engine Type,Diesel,0.998972327,0.033540373,top1,point,0.033505904,Mileage,373
