breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
year,-1,0.288189199,0.027988366,trend,shape,0.008065945,PTS,9,182472,"[-0.08995264887122803, -0.2036744142550666]","[-0.005946046817312258, -0.013294604402259979]","[-0.0005113561105167956, -0.0020777552015224425]","[-4.064803123474121, 4.048330307006836]",-4.064803123474121,4.048330307006836,"[-19.678485467582966, 10.090960726737736]","[-0.006730736164108114, 0.007671063158035262]","[9.791576478714106, 19.809108025724676]","[-2.687563419342041, -7.126176834106445]"
year,-1,0.389733034,0.094979259,trend,shape,0.037016555,PTS,16,182473,"[-0.05088348213275385, -0.10597724072458727]","[-0.005946046817312224, -0.013294604402259899]","[0.0014966155670584876, 5.1505191177310076e-05]","[2.2377195358276367, -2.5814244747161865]",2.2377195358276367,-2.5814244747161865,"[3.3601919815136214, -12.747847479530847]","[-0.006730736164108109, 0.007671063158035244]","[0.6601443658226582, -0.38171471263498663]","[0.800545334815979, -13.997578620910645]"
year,1983,1.0,0.094979259,change point,shape,0.094979259,PTS,95,182473,"[-0.050887695230322987, -0.10597603090492137]","[-0.005946046817312219, -0.013294604402259899]","[0.0014966155670584848, 5.1505191177304174e-05]","[2.2377195358276367, -2.5814244747161865]",2.2377195358276367,-2.5814244747161865,"[3.3601919815135015, -12.74784747953089]","[-0.006730736164108122, 0.007671063158035274]","[0.6601443658226589, -0.3817147126349877]","[0.800545334815979, -13.997578620910645]"
year,2011,0.998956804,0.094979259,outlier,shape,0.094880177,PTS,144,182473,"[-0.050891385457793724, -0.10597497128654267]","[-0.005946046817312201, -0.01329460440225955]","[0.001496615567058486, 5.150519117731278e-05]","[2.2377195358276367, -2.5814244747161865]",2.2377195358276367,-2.5814244747161865,"[3.3601919815137604, -12.747847479530694]","[-0.006730736164108101, 0.007671063158035264]","[0.6601443658226597, -0.3817147126349872]","[0.560434103012085, -14.219468116760254]"
name,-1,0.681788398,0.094979259,clustering,compound shape,0.077005484,PTS;AST,212,182473,"[-0.050906241102251525, -0.10597070612492922]","[-0.005946046817312236, -0.013294604402259836]","[0.0014966155670584852, 5.150519117731026e-05]","[2.2377195358276367, -2.5814244747161865]",2.2377195358276367,-2.5814244747161865,"[3.3601919815136183, -12.747847479530847]","[-0.006730736164108108, 0.0076710631580352686]","[0.6601443658226597, -0.3817147126349874]","[0.5699818730354309, -14.2064208984375]"
age,26,0.8306748429999999,0.094979259,top1,point,0.078896881,PTS,324,182473,"[-0.05083411751453003, -0.10599142140534204]","[-0.005946046817312221, -0.013294604402259895]","[0.0014966155670584859, 5.1505191177309995e-05]","[2.2377195358276367, -2.5814244747161865]",2.2377195358276367,-2.5814244747161865,"[-7.567657320512001, -17.122368919824336]","[-0.006730736164108109, 0.007671063158035238]","[0.6601443658226583, -0.38171471263498763]","[0.564817488193512, -14.216753005981445]"
year,-1,0.422316406,0.029180375,trend,shape,0.012323351,PTS,17,182477,"[-0.0804022206106183, -0.20285224759427592]","[-0.005946046817312245, -0.013294604402259992]","[-0.027874232988014048, -0.0014845701276484412]","[-2.4630727767944336, 5.196410655975342]",-2.4630727767944336,5.196410655975342,"[-13.957761017124495, 20.471705040486405]","[-0.006730736164108109, 0.007671063158035271]","[-18.96453923142644, 16.402327911067943]","[-0.49221736192703247, -7.180246353149414]"
year,-1,0.220552985,0.1074715109999999,trend,shape,0.023703163,PTS,18,25254,"[-0.05216878218586409, -0.09822391474366357]","[-0.0059460468173122135, -0.013294604402259866]","[0.0015001211169835117, 5.1858105924070124e-05]","[2.5223796367645264, -2.4173052310943604]",2.5223796367645264,-2.4173052310943604,"[3.7320957812955857, -16.026893782146075]","[-0.006730736164108125, 0.007671063158035233]","[0.6627584932175463, -0.38546732141861495]","[1.3232636451721191, -14.496953010559082]"
year,1968,1.0,0.1074715109999999,change point,shape,0.1074715109999999,PTS,80,25254,"[-0.05188225454151649, -0.0983003331525282]","[-0.005946046817312221, -0.013294604402259885]","[0.0015001211169835126, 5.1858105924074176e-05]","[2.5223796367645264, -2.4173052310943604]",2.5223796367645264,-2.4173052310943604,"[3.732095781295576, -16.026893782146082]","[-0.0067307361641081075, 0.007671063158035242]","[0.662758493217546, -0.38546732141861556]","[1.0088143348693848, -14.81387710571289]"
year,2011,0.995288938,0.1074715109999999,outlier,shape,0.106965206,PTS,136,25254,"[-0.0518682300771921, -0.09830412365438373]","[-0.005946046817312223, -0.013294604402259885]","[0.0015001211169835141, 5.185810592407094e-05]","[2.5223796367645264, -2.4173052310943604]",2.5223796367645264,-2.4173052310943604,"[-46.52439089524948, 2.622129652770026]","[-0.006730736164108107, 0.007671063158035256]","[0.6627584932175463, -0.38546732141861506]","[1.3304994106292725, -14.504619598388672]"
