breakdown,breakdown_value,sig,impact,insight,insight_type,score,measure,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
county,-1,1.0,0.019696291,clustering,compound shape,0.018938741,cases;deaths,303,116813,"[-0.010760578275245044, 0.013724933931523426]","[-0.006460834247491559, -0.01433244308273431]","[0.002525038499654509, 0.0005619746615180586]","[-19.777362823486328, 10.263235092163086]",-19.777362823486328,10.263235092163086,"[27.501504553557304, -37.51013302431267]","[-0.0031143940531334264, -0.03996332841082793]","[2.629064245895193, 1.544069635692198]","[21.55611801147461, 7.8556294441223145]"
date,-1,1.0,0.019696291,clustering,compound shape,0.019211956,cases;deaths,305,116813,"[-0.01076057827517835, 0.013724933934738878]","[-0.006460834247491544, -0.014332443082734285]","[0.0025250384996545108, 0.0005619746615180596]","[-20.53026580810547, 10.054512023925781]",-20.53026580810547,10.054512023925781,"[27.501504553557314, -37.51013302431266]","[-0.003114394053133417, -0.03996332841082791]","[2.629064245895191, 1.5440696356921981]","[21.432029724121094, 7.222503185272217]"
county,Minnehaha,1.0,0.019696291,top1,point,0.019696291,cases,389,116813,"[-0.010760578275178338, 0.013724933934739225]","[-0.006460834247491554, -0.014332443082734299]","[0.0025250384996545108, 0.0005619746615180588]","[-19.975038528442383, 9.488954544067383]",-19.975038528442383,9.488954544067383,"[27.501504553557314, -37.51013302431266]","[-0.0031143940531334186, -0.03996332841082793]","[2.629064245895195, 1.5440696356921972]","[21.39430046081543, 7.532787322998047]"
county,-1,0.948799997,0.019888242,cross measure correlation,compound,0.018869964,cases;deaths,2,116774,"[0.0013601224121367087, 0.036991754315282295]","[-0.005739394604134168, -0.009664275454786627]","[0.002525038499654509, 0.0005619746615180601]","[-10.645651817321777, -7.346787929534912]",-10.645651817321777,-7.346787929534912,"[-57.963392731924664, -31.353562393243493]","[-0.0029791199040408514, -0.0018217430296563538]","[2.629064245895193, 1.5440696356921975]","[-15.881406784057617, -10.195656776428223]"
date,-1,0.952561368,0.019888242,trend,shape,0.018944771,cases,63,116774,"[0.02068658937199506, -0.002837523888962122]","[-0.005739394604134167, -0.009664275454786618]","[0.0025250384996545103, 0.0005619746615180588]","[-10.645651817321777, -7.346787929534912]",-10.645651817321777,-7.346787929534912,"[-57.96339273192517, -31.353562393242743]","[-0.002979119904040854, -0.0018217430296563319]","[2.6290642458951927, 1.5440696356921977]","[-15.42435073852539, -10.209745407104492]"
date,2020-07-23T00:00:00.000000000,1.0,0.019888242,change point,shape,0.019888242,cases,128,116774,"[0.020679754099010707, -0.002844527357896068]","[-0.00573939460413417, -0.009664275454786625]","[0.002525038499654511, 0.0005619746615180599]","[-10.430164337158203, -7.632785320281982]",-10.430164337158203,-7.632785320281982,"[-57.96339273192504, -31.353562393242807]","[-0.002979119904040853, -0.001821743029656349]","[2.629064245895197, 1.5440696356921977]","[-15.881406784057617, -10.195656776428223]"
date,2020-07-31T00:00:00.000000000,0.983605298,0.019888242,outlier,shape,0.01956218,cases,178,116774,"[0.02067966519053334, -0.0028446184190660446]","[-0.0057393946041341785, -0.009664275454786623]","[0.0025250384996545086, 0.0005619746615180581]","[-10.645651817321777, -7.346787929534912]",-10.645651817321777,-7.346787929534912,"[-57.96339273192505, -31.353562393242917]","[-0.002979119904040859, -0.0018217430296563596]","[2.629064245895191, 1.544069635692197]","[-15.881406784057617, -10.195656776428223]"
county,-1,1.0,0.019888242,clustering,compound shape,0.0181519669999999,cases;deaths,302,116774,"[0.020679701324662767, -0.0028445814101492493]","[-0.005739394604134179, -0.009664275454786634]","[0.0025250384996545103, 0.0005619746615180599]","[-10.430164337158203, -7.632785320281982]",-10.430164337158203,-7.632785320281982,"[-60.35189276967111, -13.385441487124847]","[-0.0029791199040408453, -0.0018217430296563286]","[2.629064245895193, 1.5440696356921977]","[-15.881406784057617, -10.195656776428223]"
county,Denver,1.0,0.019888242,top1,point,0.019888242,cases,376,116774,"[0.02067966049476322, -0.002844623228507206]","[-0.005739394604134166, -0.009664275454786616]","[0.0025250384996545086, 0.0005619746615180588]","[-10.645651817321777, -7.346787929534912]",-10.645651817321777,-7.346787929534912,"[-57.96339273192443, -31.353562393244243]","[-0.0029791199040408575, -0.0018217430296563585]","[2.629064245895195, 1.544069635692198]","[-15.881406784057617, -10.195656776428223]"
county,-1,0.912860273,0.021141255,cross measure correlation,compound,0.019299011,cases;deaths,3,116788,"[0.01883731914116235, 0.00784891395190298]","[-0.005399568029609009, -0.003961882545757739]","[0.0025250384996545095, 0.0005619746615180588]","[12.040740013122559, -14.932615280151367]",12.040740013122559,-14.932615280151367,"[-67.01423816155672, -15.024632305944039]","[-0.0030261955141321134, -0.0026629569602707637]","[2.629064245895193, 1.544069635692198]","[12.505890846252441, 16.962438583374023]"
date,-1,0.977202317,0.021141255,cross measure correlation,compound,0.020659283,cases;deaths,8,116788,"[0.018837319142503185, 0.007848913955792541]","[-0.005399568029609001, -0.003961882545757712]","[0.0025250384996545103, 0.0005619746615180581]","[11.707952499389648, -14.410386085510254]",11.707952499389648,-14.410386085510254,"[-67.0142381615567, -15.024632305944056]","[-0.003026195514132114, -0.0026629569602707654]","[2.629064245895193, 1.544069635692198]","[11.936078071594238, 16.869430541992188]"
date,-1,0.932222211,0.021141255,trend,shape,0.019708347,cases,69,116788,"[0.017239459936703574, 0.02317721961410809]","[-0.005399568029609005, -0.003961882545757736]","[0.0025250384996545108, 0.0005619746615180586]","[11.759785652160645, -14.89666748046875]",11.759785652160645,-14.89666748046875,"[-67.01423816155668, -15.024632305944033]","[-0.0030261955141321164, -0.002662956960270734]","[2.629064245895191, 1.544069635692197]","[12.298779487609863, 17.490854263305664]"
date,2020-07-08T00:00:00.000000000,1.0,0.021141255,change point,shape,0.021141255,cases,119,116788,"[0.017242692400963253, 0.023173078322284043]","[-0.005399568029608998, -0.003961882545757733]","[0.0025250384996545103, 0.0005619746615180596]","[11.97550106048584, -14.315059661865234]",11.97550106048584,-14.315059661865234,"[-67.02273230167256, -14.982154503386118]","[-0.0030261955141321073, -0.0026629569602707637]","[2.629064245895197, 1.5440696356921972]","[11.974422454833984, 17.415115356445312]"
date,2020-07-31T00:00:00.000000000,0.980757976,0.021141255,outlier,shape,0.020734454,cases,169,116788,"[0.018837319056098437, 0.007848913705075665]","[-0.005399568029609004, -0.003961882545757734]","[0.002525038499654509, 0.0005619746615180583]","[12.233827590942383, -14.738792419433594]",12.233827590942383,-14.738792419433594,"[-67.01423267503525, -15.024659713762485]","[-0.003026195514132114, -0.0026629569602707637]","[2.629064245895191, 1.544069635692197]","[11.825830459594727, 17.142053604125977]"
county,-1,1.0,0.021141255,clustering,compound shape,0.019677629,cases;deaths,308,116788,"[0.01724419251399238, 0.023171155170097792]","[-0.0053995680296090014, -0.003961882545757734]","[0.002525038499654513, 0.0005619746615180596]","[12.198376655578613, -14.461881637573242]",12.198376655578613,-14.461881637573242,"[-67.01423811064804, -15.024632560258329]","[-0.003026195514132102, -0.002662956960270739]","[2.629064245895195, 1.5440696356921972]","[12.246563911437988, 16.7797794342041]"
county,Jefferson,0.999999994,0.021141255,top1,point,0.0211412539999999,cases,392,116788,"[0.018837318899667672, 0.007848913251153802]","[-0.005399568029609001, -0.003961882545757739]","[0.0025250384996545103, 0.0005619746615180599]","[11.6174955368042, -14.675854682922363]",11.6174955368042,-14.675854682922363,"[-67.02273235726625, -14.982154225065255]","[-0.0030261955141321155, -0.0026629569602707685]","[2.6290642458951927, 1.5440696356921966]","[12.517141342163086, 17.27745246887207]"
