sid,cid
48216,8
50679,8
51692,8
0,9
3,9
70,9
88,9
406,9
423,9
702,9
779,9
1684,9
1699,9
1901,9
1952,9
2699,9
2750,9
3395,9
3623,9
5128,9
5523,9
7136,9
7532,9
9147,9
9782,9
11788,9
12424,9
14433,9
15144,9
17281,9
17993,9
20131,9
21143,9
23606,9
24619,9
27075,9
27085,9
27144,9
27162,9
27480,9
27497,9
27776,9
27853,9
28759,9
28773,9
28975,9
29026,9
29773,9
29824,9
30469,9
30697,9
32202,9
32597,9
34210,9
34606,9
36221,9
36856,9
38862,9
39498,9
41507,9
42218,9
44355,9
45067,9
47205,9
48217,9
50680,9
51693,9
0,10
6,10
69,10
89,10
405,10
424,10
701,10
780,10
1683,10
1700,10
1900,10
1953,10
2698,10
2751,10
3394,10
3624,10
5127,10
5524,10
7135,10
7533,10
9146,10
9783,10
11787,10
12425,10
14432,10
15145,10
17280,10
17994,10
20130,10
21144,10
23605,10
24620,10
27074,10
27080,10
27143,10
27163,10
27479,10
27498,10
27775,10
27854,10
28757,10
28774,10
28974,10
29027,10
29772,10
29825,10
30468,10
30698,10
32201,10
32598,10
34209,10
34607,10
36220,10
36857,10
38861,10
39499,10
41506,10
42219,10
44354,10
45068,10
47204,10
48218,10
50679,10
51694,10
0,11
12,11
69,11
90,11
402,11
425,11
703,11
781,11
1682,11
1701,11
1902,11
1954,11
2694,11
2752,11
3396,11
3625,11
5129,11
5525,11
7137,11
7534,11
9148,11
9784,11
11789,11
12426,11
14434,11
15146,11
17282,11
17995,11
20132,11
21145,11
23607,11
24621,11
27074,11
27086,11
27143,11
27164,11
27476,11
27499,11
27777,11
27855,11
28756,11
28775,11
28976,11
29028,11
29768,11
29826,11
30470,11
30699,11
32203,11
32599,11
34211,11
34608,11
36222,11
36858,11
38863,11
39500,11
41508,11
42220,11
44356,11
45069,11
47206,11
48219,11
50681,11
51695,11
0,12
4,12
67,12
91,12
405,12
426,12
700,12
782,12
1684,12
1692,12
1903,12
1955,12
2700,12
2753,12
3397,12
3626,12
5130,12
5526,12
7138,12
7535,12
9149,12
9785,12
11790,12
12427,12
14435,12
15147,12
17283,12
17996,12
20133,12
21146,12
23608,12
24622,12
27074,12
27078,12
27141,12
27165,12
27479,12
27500,12
27774,12
27856,12
28758,12
28766,12
28977,12
29029,12
29774,12
29827,12
30471,12
30700,12
32204,12
32600,12
34212,12
34609,12
36223,12
36859,12
38864,12
39501,12
41509,12
42221,12
44357,12
45070,12
47207,12
48220,12
50682,12
51696,12
0,13
13,13
70,13
92,13
402,13
427,13
704,13
783,13
1682,13
1702,13
1904,13
1956,13
2694,13
2754,13
3398,13
3627,13
5131,13
5527,13
7139,13
7536,13
9150,13
9786,13
11791,13
12428,13
14436,13
15148,13
17284,13
17997,13
20134,13
21147,13
23609,13
24623,13
27074,13
27087,13
27145,13
27166,13
27476,13
27501,13
27778,13
27857,13
28756,13
28776,13
28978,13
29030,13
29768,13
29828,13
30472,13
30701,13
32205,13
32601,13
34213,13
34610,13
36224,13
36860,13
38865,13
39502,13
41510,13
42222,13
44358,13
45071,13
47208,13
48221,13
50683,13
51697,13
0,14
14,14
68,14
93,14
404,14
428,14
698,14
784,14
1684,14
1703,14
1905,14
1957,14
2701,14
2755,14
3399,14
3628,14
5132,14
5528,14
7140,14
7537,14
9151,14
9787,14
11792,14
12429,14
14437,14
15149,14
17285,14
17998,14
20135,14
21148,14
23610,14
24624,14
27074,14
27088,14
27142,14
27167,14
27478,14
27502,14
27772,14
27858,14
28758,14
28777,14
28979,14
29031,14
29775,14
29829,14
30473,14
30702,14
32206,14
32602,14
34214,14
34611,14
36225,14
36861,14
38866,14
39503,14
41511,14
42223,14
44359,14
45072,14
47209,14
48222,14
50684,14
51698,14
0,15
10,15
69,15
87,15
407,15
429,15
705,15
785,15
1683,15
1698,15
1900,15
1951,15
2702,15
2756,15
3400,15
3629,15
5133,15
5529,15
7141,15
7538,15
9152,15
9788,15
11793,15
12430,15
14438,15
15150,15
17286,15
17999,15
20136,15
21149,15
23611,15
24625,15
27074,15
27084,15
27143,15
27161,15
27481,15
27503,15
27779,15
27859,15
28757,15
28772,15
28974,15
29025,15
29776,15
29830,15
30474,15
30703,15
32207,15
32603,15
34215,15
34612,15
36226,15
36862,15
38867,15
39504,15
41512,15
42224,15
44360,15
45073,15
47210,15
48223,15
50685,15
51699,15
0,16
14,16
65,16
94,16
406,16
430,16
706,16
786,16
1682,16
1704,16
1892,16
1958,16
2703,16
2757,16
3401,16
3630,16
5134,16
5530,16
7142,16
7539,16
9153,16
9789,16
11794,16
12431,16
14439,16
15151,16
17287,16
18000,16
20137,16
21150,16
23612,16
24626,16
27075,16
27089,16
27146,16
27168,16
27480,16
27504,16
27780,16
27860,16
28760,16
28778,16
28980,16
29032,16
29777,16
29831,16
30475,16
30704,16
32208,16
32604,16
34216,16
34613,16
36227,16
36863,16
38868,16
39505,16
41513,16
42225,16
44361,16
45074,16
47211,16
48224,16
50686,16
51700,16
0,17
5,17
66,17
95,17
403,17
431,17
695,17
787,17
1683,17
1705,17
1893,17
1959,17
2695,17
2758,17
3387,17
3631,17
5135,17
5531,17
7143,17
7540,17
9154,17
9790,17
11795,17
12432,17
14440,17
15152,17
17288,17
18001,17
20138,17
21151,17
23613,17
24627,17
27074,17
27079,17
27140,17
27169,17
27477,17
27505,17
27769,17
27861,17
28757,17
28779,17
28967,17
29033,17
29769,17
