sid,cid
0,0
8,0
72,0
80,0
405,0
413,0
477,0
485,0
81,1
89,1
153,1
161,1
405,1
413,1
477,1
485,1
162,2
170,2
234,2
242,2
405,2
413,2
477,2
485,2
243,3
251,3
315,3
323,3
405,3
413,3
477,3
485,3
324,4
332,4
396,4
404,4
405,4
413,4
477,4
485,4
0,5
8,5
72,5
80,5
405,5
413,5
477,5
485,5
1,6
8,6
73,6
80,6
406,6
413,6
478,6
485,6
82,7
89,7
154,7
161,7
406,7
413,7
478,7
485,7
163,8
170,8
235,8
242,8
406,8
413,8
478,8
485,8
244,9
251,9
316,9
323,9
406,9
413,9
478,9
485,9
325,10
332,10
397,10
404,10
406,10
413,10
478,10
485,10
83,11
89,11
155,11
161,11
407,11
413,11
479,11
485,11
164,12
170,12
236,12
242,12
407,12
413,12
479,12
485,12
245,13
251,13
317,13
323,13
407,13
413,13
479,13
485,13
326,14
332,14
398,14
404,14
407,14
413,14
479,14
485,14
3,15
8,15
75,15
80,15
408,15
413,15
480,15
485,15
84,16
89,16
156,16
161,16
408,16
413,16
480,16
485,16
165,17
170,17
237,17
242,17
408,17
413,17
480,17
485,17
246,18
251,18
318,18
323,18
408,18
413,18
480,18
485,18
327,19
332,19
399,19
404,19
408,19
413,19
480,19
485,19
3,20
8,20
75,20
80,20
408,20
413,20
480,20
485,20
84,21
89,21
156,21
161,21
408,21
413,21
480,21
485,21
165,22
170,22
237,22
242,22
408,22
413,22
480,22
485,22
246,23
251,23
318,23
323,23
408,23
413,23
480,23
485,23
327,24
332,24
399,24
404,24
408,24
413,24
480,24
485,24
4,25
8,25
76,25
80,25
409,25
413,25
481,25
485,25
85,26
89,26
157,26
161,26
409,26
413,26
481,26
485,26
166,27
170,27
238,27
242,27
409,27
413,27
481,27
485,27
247,28
251,28
319,28
323,28
409,28
413,28
481,28
485,28
328,29
332,29
400,29
404,29
409,29
413,29
481,29
485,29
5,30
8,30
77,30
80,30
410,30
413,30
482,30
485,30
86,31
89,31
158,31
161,31
410,31
413,31
482,31
485,31
167,32
170,32
239,32
242,32
410,32
413,32
482,32
485,32
248,33
251,33
320,33
323,33
410,33
413,33
482,33
485,33
329,34
332,34
401,34
404,34
410,34
413,34
482,34
485,34
5,35
8,35
77,35
80,35
410,35
413,35
482,35
485,35
86,36
89,36
158,36
161,36
410,36
413,36
482,36
485,36
167,37
170,37
239,37
242,37
410,37
413,37
482,37
485,37
248,38
251,38
320,38
323,38
410,38
413,38
482,38
485,38
329,39
332,39
401,39
404,39
410,39
413,39
482,39
485,39
5,40
8,40
77,40
80,40
410,40
413,40
482,40
485,40
86,41
89,41
158,41
161,41
410,41
413,41
482,41
485,41
167,42
170,42
239,42
242,42
410,42
413,42
482,42
485,42
248,43
251,43
320,43
323,43
410,43
413,43
482,43
485,43
329,44
332,44
401,44
404,44
410,44
413,44
482,44
485,44
9,45
17,45
72,45
80,45
414,45
422,45
477,45
485,45
90,46
98,46
153,46
161,46
414,46
422,46
477,46
485,46
171,47
179,47
234,47
242,47
414,47
422,47
477,47
485,47
252,48
260,48
315,48
323,48
414,48
422,48
477,48
485,48
333,49
341,49
396,49
404,49
414,49
422,49
477,49
485,49
10,50
17,50
73,50
80,50
415,50
422,50
478,50
485,50
91,51
98,51
154,51
161,51
415,51
422,51
478,51
485,51
172,52
179,52
235,52
242,52
415,52
422,52
478,52
485,52
253,53
260,53
316,53
323,53
415,53
422,53
478,53
485,53
334,54
341,54
397,54
404,54
415,54
422,54
478,54
485,54
10,55
17,55
73,55
80,55
415,55
422,55
478,55
485,55
91,56
98,56
154,56
161,56
415,56
422,56
478,56
485,56
172,57
179,57
235,57
242,57
415,57
422,57
478,57
485,57
253,58
260,58
316,58
323,58
415,58
422,58
478,58
485,58
334,59
341,59
397,59
404,59
415,59
422,59
478,59
485,59
11,60
17,60
74,60
80,60
416,60
422,60
479,60
485,60
92,61
98,61
155,61
161,61
416,61
422,61
479,61
485,61
173,62
179,62
236,62
242,62
416,62
422,62
479,62
485,62
254,63
260,63
317,63
323,63
416,63
422,63
479,63
485,63
335,64
341,64
398,64
404,64
416,64
422,64
479,64
485,64
15,65
17,65
78,65
80,65
420,65
422,65
483,65
485,65
96,66
98,66
159,66
161,66
420,66
422,66
483,66
485,66
177,67
179,67
240,67
242,67
420,67
422,67
483,67
485,67
258,68
260,68
321,68
323,68
420,68
422,68
483,68
485,68
339,69
341,69
402,69
404,69
420,69
422,69
483,69
485,69
12,70
17,70
75,70
80,70
417,70
422,70
480,70
485,70
93,71
98,71
156,71
161,71
417,71
422,71
480,71
485,71
174,72
179,72
237,72
242,72
417,72
422,72
480,72
485,72
255,73
260,73
318,73
323,73
417,73
422,73
480,73
485,73
336,74
341,74
399,74
404,74
417,74
422,74
480,74
485,74
13,75
17,75
76,75
80,75
418,75
422,75
481,75
485,75
94,76
98,76
157,76
161,76
418,76
422,76
481,76
485,76
175,77
179,77
238,77
242,77
418,77
422,77
481,77
485,77
256,78
260,78
319,78
323,78
418,78
422,78
481,78
485,78
337,79
341,79
400,79
404,79
418,79
422,79
481,79
485,79
14,80
17,80
77,80
80,80
419,80
422,80
482,80
485,80
95,81
98,81
158,81
161,81
419,81
422,81
482,81
485,81
176,82
179,82
239,82
242,82
419,82
422,82
482,82
485,82
257,83
260,83
320,83
323,83
419,83
422,83
482,83
485,83
338,84
341,84
401,84
404,84
419,84
422,84
482,84
485,84
14,85
17,85
77,85
80,85
419,85
422,85
482,85
485,85
95,86
98,86
158,86
161,86
419,86
422,86
482,86
485,86
176,87
179,87
239,87
242,87
419,87
422,87
482,87
485,87
257,88
260,88
320,88
323,88
419,88
422,88
482,88
485,88
338,89
341,89
401,89
404,89
419,89
422,89
482,89
485,89
14,90
17,90
77,90
80,90
419,90
422,90
482,90
485,90
95,91
98,91
158,91
161,91
419,91
422,91
482,91
485,91
176,92
179,92
239,92
242,92
419,92
422,92
482,92
485,92
257,93
260,93
320,93
323,93
419,93
422,93
482,93
485,93
338,94
341,94
401,94
404,94
419,94
422,94
482,94
485,94
14,95
17,95
77,95
80,95
419,95
422,95
482,95
485,95
95,96
98,96
158,96
161,96
419,96
422,96
482,96
485,96
176,97
179,97
239,97
242,97
419,97
422,97
482,97
485,97
257,98
260,98
320,98
323,98
419,98
422,98
482,98
485,98
338,99
341,99
401,99
404,99
419,99
422,99
482,99
485,99
24,100
26,100
78,100
80,100
429,100
431,100
483,100
485,100
105,101
107,101
159,101
161,101
429,101
431,101
483,101
485,101
186,102
188,102
240,102
242,102
429,102
431,102
483,102
485,102
267,103
269,103
321,103
323,103
429,103
431,103
483,103
485,103
348,104
350,104
402,104
404,104
429,104
431,104
483,104
485,104
24,105
26,105
78,105
80,105
429,105
431,105
483,105
485,105
105,106
107,106
159,106
161,106
429,106
431,106
483,106
485,106
186,107
188,107
240,107
242,107
429,107
431,107
483,107
485,107
267,108
269,108
321,108
323,108
429,108
431,108
483,108
485,108
348,109
350,109
402,109
404,109
429,109
431,109
483,109
485,109
23,110
26,110
77,110
80,110
428,110
431,110
482,110
485,110
104,111
107,111
158,111
161,111
428,111
431,111
482,111
485,111
185,112
188,112
239,112
242,112
428,112
431,112
482,112
485,112
266,113
269,113
320,113
323,113
428,113
431,113
482,113
485,113
347,114
350,114
401,114
404,114
428,114
431,114
482,114
485,114
23,115
26,115
77,115
80,115
428,115
431,115
482,115
485,115
104,116
107,116
158,116
161,116
428,116
431,116
482,116
485,116
185,117
188,117
239,117
242,117
428,117
431,117
482,117
485,117
266,118
269,118
320,118
323,118
428,118
431,118
482,118
485,118
347,119
350,119
401,119
404,119
428,119
431,119
482,119
485,119
23,120
26,120
77,120
80,120
428,120
431,120
482,120
485,120
104,121
107,121
158,121
161,121
428,121
431,121
482,121
485,121
185,122
188,122
239,122
242,122
428,122
431,122
482,122
485,122
266,123
269,123
320,123
323,123
428,123
431,123
482,123
485,123
347,124
350,124
401,124
404,124
428,124
431,124
482,124
485,124
23,125
26,125
77,125
80,125
428,125
431,125
482,125
485,125
104,126
107,126
158,126
161,126
428,126
431,126
482,126
485,126
185,127
188,127
239,127
242,127
428,127
431,127
482,127
485,127
266,128
269,128
320,128
323,128
428,128
431,128
482,128
485,128
347,129
350,129
401,129
404,129
428,129
431,129
482,129
485,129
29,130
35,130
74,130
80,130
434,130
440,130
479,130
485,130
110,131
116,131
155,131
161,131
434,131
440,131
479,131
485,131
191,132
197,132
236,132
242,132
434,132
440,132
479,132
485,132
272,133
278,133
317,133
323,133
434,133
440,133
479,133
485,133
353,134
359,134
398,134
404,134
434,134
440,134
479,134
485,134
31,135
35,135
76,135
80,135
436,135
440,135
481,135
485,135
112,136
116,136
157,136
161,136
436,136
440,136
481,136
485,136
193,137
197,137
238,137
242,137
436,137
440,137
481,137
485,137
274,138
278,138
319,138
323,138
436,138
440,138
481,138
485,138
355,139
359,139
400,139
404,139
436,139
440,139
481,139
485,139
31,140
35,140
76,140
80,140
436,140
440,140
481,140
485,140
112,141
116,141
157,141
161,141
436,141
440,141
481,141
485,141
193,142
197,142
238,142
242,142
436,142
440,142
481,142
485,142
274,143
278,143
319,143
323,143
436,143
440,143
481,143
485,143
355,144
359,144
400,144
404,144
436,144
440,144
481,144
485,144
32,145
35,145
77,145
80,145
437,145
440,145
482,145
485,145
113,146
116,146
158,146
161,146
437,146
440,146
482,146
485,146
194,147
197,147
239,147
242,147
437,147
440,147
482,147
485,147
275,148
278,148
320,148
323,148
437,148
440,148
482,148
485,148
356,149
359,149
401,149
404,149
437,149
440,149
482,149
485,149
32,150
35,150
77,150
80,150
437,150
440,150
482,150
485,150
113,151
116,151
158,151
161,151
437,151
440,151
482,151
485,151
194,152
197,152
239,152
242,152
437,152
440,152
482,152
485,152
275,153
278,153
320,153
323,153
437,153
440,153
482,153
485,153
356,154
359,154
401,154
404,154
437,154
440,154
482,154
485,154
36,155
44,155
72,155
80,155
441,155
449,155
477,155
485,155
117,156
125,156
153,156
161,156
441,156
449,156
477,156
485,156
198,157
206,157
234,157
242,157
441,157
449,157
477,157
485,157
279,158
287,158
315,158
323,158
441,158
449,158
477,158
485,158
360,159
368,159
396,159
404,159
441,159
449,159
477,159
485,159
38,160
44,160
74,160
80,160
443,160
449,160
479,160
485,160
119,161
125,161
155,161
161,161
443,161
449,161
479,161
485,161
200,162
206,162
236,162
242,162
443,162
449,162
479,162
485,162
281,163
287,163
317,163
323,163
443,163
449,163
479,163
485,163
362,164
368,164
398,164
404,164
443,164
449,164
479,164
485,164
40,165
44,165
76,165
80,165
445,165
449,165
481,165
485,165
121,166
125,166
157,166
161,166
445,166
449,166
481,166
485,166
202,167
206,167
238,167
242,167
445,167
449,167
481,167
485,167
283,168
287,168
319,168
323,168
445,168
449,168
481,168
485,168
364,169
368,169
400,169
404,169
445,169
449,169
481,169
485,169
41,170
44,170
77,170
80,170
446,170
449,170
482,170
485,170
122,171
125,171
158,171
161,171
446,171
449,171
482,171
485,171
203,172
206,172
239,172
242,172
446,172
449,172
482,172
485,172
284,173
287,173
320,173
323,173
446,173
449,173
482,173
485,173
365,174
368,174
401,174
404,174
446,174
449,174
482,174
485,174
41,175
44,175
77,175
80,175
446,175
449,175
482,175
485,175
122,176
125,176
158,176
161,176
446,176
449,176
482,176
485,176
203,177
206,177
239,177
242,177
446,177
449,177
482,177
485,177
284,178
287,178
320,178
323,178
446,178
449,178
482,178
485,178
365,179
368,179
401,179
404,179
446,179
449,179
482,179
485,179
45,180
53,180
72,180
80,180
450,180
458,180
477,180
485,180
126,181
134,181
153,181
161,181
450,181
458,181
477,181
485,181
207,182
215,182
234,182
242,182
450,182
458,182
477,182
485,182
288,183
296,183
315,183
323,183
450,183
458,183
477,183
485,183
369,184
377,184
396,184
404,184
450,184
458,184
477,184
485,184
47,185
53,185
74,185
80,185
452,185
458,185
479,185
485,185
128,186
134,186
155,186
161,186
452,186
458,186
479,186
485,186
209,187
215,187
236,187
242,187
452,187
458,187
479,187
485,187
290,188
296,188
317,188
323,188
452,188
458,188
479,188
485,188
371,189
377,189
398,189
404,189
452,189
458,189
479,189
485,189
52,190
53,190
79,190
80,190
457,190
458,190
484,190
485,190
133,191
134,191
160,191
161,191
457,191
458,191
484,191
485,191
214,192
215,192
241,192
242,192
457,192
458,192
484,192
485,192
295,193
296,193
322,193
323,193
457,193
458,193
484,193
485,193
376,194
377,194
403,194
404,194
457,194
458,194
484,194
485,194
49,195
53,195
76,195
80,195
454,195
458,195
481,195
485,195
130,196
134,196
157,196
161,196
454,196
458,196
481,196
485,196
211,197
215,197
238,197
242,197
454,197
458,197
481,197
485,197
292,198
296,198
319,198
323,198
454,198
458,198
481,198
485,198
373,199
377,199
400,199
404,199
454,199
458,199
481,199
485,199
50,200
53,200
77,200
80,200
455,200
458,200
482,200
485,200
131,201
134,201
158,201
161,201
455,201
458,201
482,201
485,201
212,202
215,202
239,202
242,202
455,202
458,202
482,202
485,202
293,203
296,203
320,203
323,203
455,203
458,203
482,203
485,203
374,204
377,204
401,204
404,204
455,204
458,204
482,204
485,204
56,205
62,205
74,205
80,205
461,205
467,205
479,205
485,205
137,206
143,206
155,206
161,206
461,206
467,206
479,206
485,206
218,207
224,207
236,207
242,207
461,207
467,207
479,207
485,207
299,208
305,208
317,208
323,208
461,208
467,208
479,208
485,208
380,209
386,209
398,209
404,209
461,209
467,209
479,209
485,209
58,210
62,210
76,210
80,210
463,210
467,210
481,210
485,210
139,211
143,211
157,211
161,211
463,211
467,211
481,211
485,211
220,212
224,212
238,212
242,212
463,212
467,212
481,212
485,212
301,213
305,213
319,213
323,213
463,213
467,213
481,213
485,213
382,214
386,214
400,214
404,214
463,214
467,214
481,214
485,214
58,215
62,215
76,215
80,215
463,215
467,215
481,215
485,215
139,216
143,216
157,216
161,216
463,216
467,216
481,216
485,216
220,217
224,217
238,217
242,217
463,217
467,217
481,217
485,217
301,218
305,218
319,218
323,218
463,218
467,218
481,218
485,218
382,219
386,219
400,219
404,219
463,219
467,219
481,219
485,219
59,220
62,220
77,220
80,220
464,220
