sid,cid
1379,22
1407,22
1474,22
1524,22
1614,22
1704,22
0,23
16,23
81,23
101,23
167,23
202,23
282,23
337,23
404,23
425,23
493,23
522,23
589,23
639,23
729,23
819,23
886,23
902,23
967,23
987,23
1053,23
1088,23
1168,23
1223,23
1290,23
1311,23
1379,23
1408,23
1475,23
1525,23
1615,23
1705,23
0,24
17,24
81,24
102,24
168,24
203,24
283,24
338,24
404,24
426,24
493,24
523,24
590,24
640,24
730,24
820,24
886,24
903,24
967,24
988,24
1054,24
1089,24
1169,24
1224,24
1290,24
1312,24
1379,24
1409,24
1476,24
1526,24
1616,24
1706,24
0,25
18,25
81,25
103,25
164,25
204,25
279,25
339,25
405,25
427,25
494,25
524,25
591,25
641,25
731,25
821,25
886,25
904,25
967,25
989,25
1050,25
1090,25
1165,25
1225,25
1291,25
1313,25
1380,25
1410,25
1477,25
1527,25
1617,25
1707,25
0,26
19,26
81,26
104,26
165,26
205,26
280,26
340,26
405,26
428,26
494,26
525,26
592,26
642,26
732,26
822,26
886,26
905,26
967,26
990,26
1051,26
1091,26
1166,26
1226,26
1291,26
1314,26
1380,26
1411,26
1478,26
1528,26
1618,26
1708,26
0,27
20,27
81,27
105,27
166,27
206,27
281,27
341,27
405,27
429,27
494,27
526,27
593,27
643,27
733,27
823,27
886,27
906,27
967,27
991,27
1052,27
1092,27
1167,27
1227,27
1291,27
1315,27
1380,27
1412,27
1479,27
1529,27
1619,27
1709,27
0,28
21,28
81,28
106,28
167,28
207,28
282,28
342,28
405,28
430,28
494,28
527,28
594,28
644,28
734,28
824,28
886,28
907,28
967,28
992,28
1053,28
1093,28
1168,28
1228,28
1291,28
1316,28
1380,28
1413,28
1480,28
1530,28
1620,28
1710,28
0,29
22,29
81,29
107,29
168,29
208,29
283,29
343,29
405,29
431,29
494,29
528,29
595,29
645,29
735,29
825,29
886,29
908,29
967,29
993,29
1054,29
1094,29
1169,29
1229,29
1291,29
1317,29
1380,29
1414,29
1481,29
1531,29
1621,29
1711,29
0,30
23,30
82,30
108,30
164,30
209,30
284,30
344,30
404,30
432,30
495,30
529,30
586,30
646,30
736,30
826,30
887,30
909,30
968,30
994,30
1055,30
1095,30
1170,30
1230,30
1292,30
1318,30
1381,30
1415,30
1482,30
1532,30
1622,30
1712,30
0,31
24,31
82,31
109,31
165,31
210,31
285,31
345,31
404,31
433,31
495,31
530,31
587,31
647,31
737,31
827,31
887,31
910,31
968,31
995,31
1056,31
1096,31
1171,31
1231,31
1292,31
1319,31
1381,31
1416,31
1483,31
1533,31
1623,31
1713,31
0,32
25,32
82,32
110,32
166,32
211,32
286,32
346,32
404,32
434,32
495,32
531,32
588,32
648,32
738,32
828,32
887,32
911,32
968,32
996,32
1057,32
1097,32
1172,32
1232,32
1292,32
1320,32
1381,32
1417,32
1484,32
1534,32
1624,32
1714,32
0,33
26,33
82,33
111,33
167,33
212,33
287,33
347,33
404,33
435,33
495,33
532,33
589,33
649,33
739,33
829,33
887,33
912,33
968,33
997,33
1058,33
1098,33
1173,33
1233,33
1292,33
1321,33
1381,33
1418,33
1485,33
1535,33
1625,33
1715,33
0,34
27,34
82,34
112,34
168,34
213,34
288,34
348,34
404,34
436,34
495,34
533,34
590,34
650,34
740,34
830,34
887,34
913,34
968,34
998,34
1059,34
1099,34
1174,34
1234,34
1292,34
1322,34
1381,34
1419,34
1486,34
1536,34
1626,34
1716,34
0,35
28,35
82,35
113,35
164,35
214,35
284,35
349,35
405,35
437,35
496,35
534,35
591,35
651,35
741,35
831,35
887,35
914,35
968,35
999,35
1055,35
1100,35
1170,35
1235,35
1293,35
1323,35
1382,35
1420,35
1487,35
1537,35
1627,35
1717,35
0,36
29,36
82,36
114,36
165,36
215,36
285,36
350,36
405,36
438,36
496,36
535,36
592,36
652,36
742,36
832,36
887,36
915,36
968,36
1000,36
1056,36
1101,36
1171,36
1236,36
1293,36
1324,36
1382,36
1421,36
1488,36
1538,36
1628,36
1718,36
0,37
30,37
82,37
115,37
166,37
216,37
286,37
351,37
405,37
439,37
496,37
536,37
593,37
653,37
