Year,Brand,Body,Engine Type,Model,Registration,sid
2005,Renault,sedan,*,*,*,909
2013,Renault,other,*,*,*,911
2004,Renault,sedan,*,*,*,912
2015,Mercedes-Benz,other,*,*,*,913
2007,Toyota,sedan,*,*,*,914
2010,Volkswagen,hatch,*,*,*,915
2013,Audi,crossover,*,*,*,916
2004,Audi,sedan,*,*,*,918
2004,Mercedes-Benz,other,*,*,*,919
1998,Volkswagen,hatch,*,*,*,920
2012,Volkswagen,sedan,*,*,*,921
2015,BMW,vagon,*,*,*,922
2004,Mitsubishi,hatch,*,*,*,923
2005,Volkswagen,van,*,*,*,924
2008,Mercedes-Benz,other,*,*,*,925
2006,Volkswagen,sedan,*,*,*,926
2016,Volkswagen,sedan,*,*,*,927
2011,Volkswagen,vagon,*,*,*,928
2003,Mercedes-Benz,van,*,*,*,929
2011,BMW,crossover,*,*,*,930
2005,BMW,other,*,*,*,931
2011,Volkswagen,van,*,*,*,932
2013,Volkswagen,other,*,*,*,933
1999,Volkswagen,vagon,*,*,*,934
2007,Toyota,crossover,*,*,*,935
1996,Mitsubishi,hatch,*,*,*,936
2005,Mercedes-Benz,sedan,*,*,*,937
2004,BMW,crossover,*,*,*,938
2000,Volkswagen,crossover,*,*,*,939
1998,Volkswagen,sedan,*,*,*,940
2010,Audi,vagon,*,*,*,941
2012,BMW,sedan,*,*,*,942
1996,Volkswagen,sedan,*,*,*,943
1989,Volkswagen,other,*,*,*,945
2016,Mitsubishi,other,*,*,*,946
2011,Renault,sedan,*,*,*,947
2007,Volkswagen,other,*,*,*,948
1997,Mercedes-Benz,sedan,*,*,*,949
2001,BMW,sedan,*,*,*,950
2000,Mercedes-Benz,van,*,*,*,951
2009,Mitsubishi,hatch,*,*,*,952
2004,Mercedes-Benz,sedan,*,*,*,953
2010,Toyota,crossover,*,*,*,954
2007,Volkswagen,hatch,*,*,*,956
2011,Volkswagen,sedan,*,*,*,957
2015,Toyota,crossover,*,*,*,958
2010,Audi,crossover,*,*,*,959
2012,Volkswagen,hatch,*,*,*,960
2015,Audi,other,*,*,*,961
2013,Toyota,sedan,*,*,*,962
2012,Volkswagen,other,*,*,*,963
1991,Volkswagen,sedan,*,*,*,964
2003,Mercedes-Benz,crossover,*,*,*,965
2014,Toyota,hatch,*,*,*,966
2013,Mercedes-Benz,van,*,*,*,967
1999,Audi,vagon,*,*,*,968
2013,Volkswagen,vagon,*,*,*,969
2007,Mercedes-Benz,other,*,*,*,970
2012,Renault,other,*,*,*,971
2010,Renault,vagon,*,*,*,972
2011,Renault,hatch,*,*,*,973
2013,Volkswagen,van,*,*,*,975
2007,Audi,sedan,*,*,*,976
2000,Renault,van,*,*,*,978
2016,Volkswagen,crossover,*,*,*,979
2009,Toyota,crossover,*,*,*,980
2014,Toyota,sedan,*,*,*,981
1979,Toyota,sedan,*,*,*,982
2013,Renault,sedan,*,*,*,983
2016,Renault,vagon,*,*,*,984
2011,Renault,van,*,*,*,985
2009,Renault,hatch,*,*,*,986
2002,Toyota,sedan,*,*,*,987
2002,Volkswagen,vagon,*,*,*,988
1998,Mercedes-Benz,crossover,*,*,*,989
2012,Toyota,hatch,*,*,*,990
2006,Mitsubishi,sedan,*,*,*,991
2001,Renault,van,*,*,*,992
2007,Renault,vagon,*,*,*,993
2007,Volkswagen,crossover,*,*,*,994
2007,Renault,van,*,*,*,995
2013,Renault,van,*,*,*,996
2007,Mitsubishi,crossover,*,*,*,997
2003,Volkswagen,vagon,*,*,*,998
2002,Volkswagen,sedan,*,*,*,999
2004,BMW,sedan,*,*,*,1000
2011,Volkswagen,hatch,*,*,*,1001
2002,Mercedes-Benz,hatch,*,*,*,1003
2012,Mercedes-Benz,van,*,*,*,1004
2001,Renault,vagon,*,*,*,1005
2003,Volkswagen,sedan,*,*,*,1006
2015,Volkswagen,crossover,*,*,*,1007
1996,Mitsubishi,sedan,*,*,*,1009
1991,Toyota,other,*,*,*,1010
2014,BMW,crossover,*,*,*,1011
2014,Volkswagen,sedan,*,*,*,1013
1997,Mitsubishi,crossover,*,*,*,1014
2010,Mercedes-Benz,other,*,*,*,1015
2000,BMW,crossover,*,*,*,1016
1986,Audi,sedan,*,*,*,1017
1994,Mercedes-Benz,sedan,*,*,*,1018
