Year,Brand,Category,sid
2008,Honda,Subcompact,217
2009,Honda,Subcompact,218
2010,Honda,Subcompact,219
2011,Honda,Subcompact,220
2007,Honda,SUV,221
2008,Honda,SUV,222
2009,Honda,SUV,223
2010,Honda,SUV,224
2011,Honda,SUV,225
2007,Hyundai,Compact,226
2008,Hyundai,Compact,227
2009,Hyundai,Compact,228
2010,Hyundai,Compact,229
2011,Hyundai,Compact,230
2007,Hyundai,Midsize,231
2008,Hyundai,Midsize,232
2009,Hyundai,Midsize,233
2010,Hyundai,Midsize,234
2011,Hyundai,Midsize,235
2007,Hyundai,Subcompact,236
2008,Hyundai,Subcompact,237
2009,Hyundai,Subcompact,238
2010,Hyundai,Subcompact,239
2011,Hyundai,Subcompact,240
2007,Hyundai,SUV,241
2008,Hyundai,SUV,242
2009,Hyundai,SUV,243
2010,Hyundai,SUV,244
2011,Hyundai,SUV,245
2007,Mazda,Compact,246
2008,Mazda,Compact,247
2009,Mazda,Compact,248
2010,Mazda,Compact,249
2011,Mazda,Compact,250
2007,Mazda,Midsize,251
2008,Mazda,Midsize,252
2009,Mazda,Midsize,253
2010,Mazda,Midsize,254
2011,Mazda,Midsize,255
2007,Mazda,MPV,256
2008,Mazda,MPV,257
2009,Mazda,MPV,258
2010,Mazda,MPV,259
2011,Mazda,MPV,260
2007,Mazda,Subcompact,261
2008,Mazda,Subcompact,262
2009,Mazda,Subcompact,263
2010,Mazda,Subcompact,264
2011,Mazda,Subcompact,265
2007,Mazda,SUV,266
2008,Mazda,SUV,267
2009,Mazda,SUV,268
2010,Mazda,SUV,269
2011,Mazda,SUV,270
2007,Toyota,Midsize,271
2008,Toyota,Midsize,272
2009,Toyota,Midsize,273
2010,Toyota,Midsize,274
2011,Toyota,Midsize,275
2007,Toyota,Subcompact,276
2008,Toyota,Subcompact,277
2009,Toyota,Subcompact,278
2010,Toyota,Subcompact,279
2011,Toyota,Subcompact,280
2007,Toyota,SUV,281
2008,Toyota,SUV,282
2009,Toyota,SUV,283
2010,Toyota,SUV,284
2011,Toyota,SUV,285
2007,Volkswagen,Compact,286
2008,Volkswagen,Compact,287
2009,Volkswagen,Compact,288
2010,Volkswagen,Compact,289
2011,Volkswagen,Compact,290
2007,Volkswagen,Midsize,291
2008,Volkswagen,Midsize,292
2009,Volkswagen,Midsize,293
2010,Volkswagen,Midsize,294
2011,Volkswagen,Midsize,295
2007,Volkswagen,Sporty,296
2008,Volkswagen,Sporty,297
2009,Volkswagen,Sporty,298
2010,Volkswagen,Sporty,299
2011,Volkswagen,Sporty,300
2007,Volkswagen,Subcompact,301
2008,Volkswagen,Subcompact,302
2009,Volkswagen,Subcompact,303
2010,Volkswagen,Subcompact,304
2011,Volkswagen,Subcompact,305
2007,Volkswagen,SUV,306
2008,Volkswagen,SUV,307
2009,Volkswagen,SUV,308
2010,Volkswagen,SUV,309
2011,Volkswagen,SUV,310
