date,county,state,sid
*,Barren,*,282
*,Bath,*,283
*,Bell,*,284
*,Boone,*,285
*,Bourbon,*,286
*,Boyd,*,287
*,Boyle,*,288
*,Bracken,*,289
*,Breathitt,*,290
*,Breckinridge,*,291
*,Bullitt,*,292
*,Caldwell,*,293
*,Calloway,*,294
*,Campbell,*,295
*,Carlisle,*,296
*,Carter,*,297
*,Casey,*,298
*,Christian,*,299
*,Clark,*,300
*,Clinton,*,301
*,Crittenden,*,302
*,Cumberland,*,303
*,Daviess,*,304
*,Edmonson,*,305
*,Elliott,*,306
*,Estill,*,307
*,Fleming,*,308
*,Gallatin,*,309
*,Garrard,*,310
*,Grant,*,311
*,Graves,*,312
*,Grayson,*,313
*,Green,*,314
*,Greenup,*,315
*,Hardin,*,316
*,Harlan,*,317
*,Harrison,*,318
*,Henderson,*,319
*,Hickman,*,320
*,Hopkins,*,321
*,Jessamine,*,322
*,Kenton,*,323
*,Knott,*,324
*,Knox,*,325
*,Larue,*,326
*,Laurel,*,327
*,Leslie,*,328
*,Letcher,*,329
*,Lewis,*,330
*,Livingston,*,331
*,Logan,*,332
*,Lyon,*,333
*,Magoffin,*,334
*,Mason,*,335
*,McCracken,*,336
*,McCreary,*,337
*,McLean,*,338
*,Meade,*,339
*,Menifee,*,340
*,Mercer,*,341
*,Metcalfe,*,342
*,Muhlenberg,*,343
*,Nelson,*,344
*,Nicholas,*,345
*,Ohio,*,346
*,Oldham,*,347
*,Owen,*,348
*,Owsley,*,349
*,Pendleton,*,350
*,Powell,*,351
*,Robertson,*,352
*,Rockcastle,*,353
*,Rowan,*,354
*,Scott,*,355
*,Simpson,*,356
*,Spencer,*,357
*,Todd,*,358
*,Trigg,*,359
*,Trimble,*,360
*,Whitley,*,361
*,Wolfe,*,362
*,Woodford,*,363
*,Allegany,*,364
*,Anne Arundel,*,365
*,Baltimore,*,366
*,Baltimore city,*,367
*,Calvert,*,368
*,Caroline,*,369
*,Cecil,*,370
*,Charles,*,371
*,Dorchester,*,372
*,Frederick,*,373
*,Garrett,*,374
*,Harford,*,375
*,Howard,*,376
*,Prince Georges,*,377
*,Queen Annes,*,378
*,Somerset,*,379
*,St. Marys,*,380
*,Wicomico,*,381
*,Worcester,*,382
*,Adams,*,383
*,Alcorn,*,384
*,Amite,*,385
*,Attala,*,386
*,Benton,*,387
*,Bolivar,*,388
*,Chickasaw,*,389
*,Claiborne,*,390
*,Coahoma,*,391
*,Copiah,*,392
*,Forrest,*,393
*,George,*,394
*,Grenada,*,395
*,Hinds,*,396
*,Humphreys,*,397
*,Issaquena,*,398
*,Itawamba,*,399
*,Jefferson Davis,*,400
*,Kemper,*,401
*,Leake,*,402
*,Leflore,*,403
*,Neshoba,*,404
*,Noxubee,*,405
*,Oktibbeha,*,406
*,Panola,*,407
*,Pearl River,*,408
*,Pontotoc,*,409
*,Prentiss,*,410
*,Rankin,*,411
*,Sharkey,*,412
*,Smith,*,413
*,Stone,*,414
*,Sunflower,*,415
*,Tallahatchie,*,416
*,Tate,*,417
*,Tippah,*,418
*,Tishomingo,*,419
*,Tunica,*,420
*,Walthall,*,421
*,Yalobusha,*,422
*,Yazoo,*,423
*,Alamance,*,424
*,Alexander,*,425
*,Alleghany,*,426
*,Anson,*,427
*,Ashe,*,428
*,Avery,*,429
*,Beaufort,*,430
*,Bertie,*,431
*,Bladen,*,432
*,Brunswick,*,433
*,Buncombe,*,434
*,Cabarrus,*,435
*,Carteret,*,436
*,Caswell,*,437
*,Catawba,*,438
*,Chowan,*,439
*,Cleveland,*,440
*,Columbus,*,441
*,Craven,*,442
*,Currituck,*,443
*,Dare,*,444
*,Davidson,*,445
*,Davie,*,446
*,Duplin,*,447
*,Durham,*,448
*,Edgecombe,*,449
*,Gaston,*,450
*,Gates,*,451
*,Graham,*,452
*,Granville,*,453
*,Guilford,*,454
*,Halifax,*,455
*,Harnett,*,456
*,Haywood,*,457
*,Hertford,*,458
*,Hoke,*,459
*,Hyde,*,460
*,Iredell,*,461
*,Johnston,*,462
*,Lenoir,*,463
*,McDowell,*,464
*,Mecklenburg,*,465
*,Moore,*,466
*,Nash,*,467
*,New Hanover,*,468
*,Northampton,*,469
*,Onslow,*,470
*,Pamlico,*,471
*,Pasquotank,*,472
*,Pender,*,473
*,Perquimans,*,474
*,Person,*,475
*,Pitt,*,476
*,Robeson,*,477
*,Rockingham,*,478
*,Rutherford,*,479
*,Sampson,*,480
*,Scotland,*,481
*,Stanly,*,482
*,Stokes,*,483
*,Surry,*,484
*,Swain,*,485
*,Transylvania,*,486
*,Tyrrell,*,487
*,Vance,*,488
*,Wake,*,489
*,Watauga,*,490
*,Wilson,*,491
*,Yadkin,*,492
*,Yancey,*,493
*,Abbeville,*,494
*,Aiken,*,495
*,Allendale,*,496
*,Bamberg,*,497
*,Barnwell,*,498
*,Berkeley,*,499
*,Charleston,*,500
*,Chester,*,501
*,Chesterfield,*,502
*,Clarendon,*,503
*,Colleton,*,504
*,Darlington,*,505
*,Dillon,*,506
*,Edgefield,*,507
*,Fairfield,*,508
*,Florence,*,509
*,Georgetown,*,510
*,Greenville,*,511
*,Greenwood,*,512
*,Hampton,*,513
*,Horry,*,514
*,Kershaw,*,515
*,Lancaster,*,516
*,Lexington,*,517
*,Marlboro,*,518
*,McCormick,*,519
*,Newberry,*,520
*,Orangeburg,*,521
*,Richland,*,522
*,Saluda,*,523
*,Spartanburg,*,524
*,Williamsburg,*,525
*,York,*,526
*,Bedford,*,527
*,Bledsoe,*,528
*,Bradley,*,529
*,Cannon,*,530
*,Cheatham,*,531
*,Cocke,*,532
*,Crockett,*,533
*,Dickson,*,534
*,Dyer,*,535
*,Fentress,*,536
*,Gibson,*,537
*,Giles,*,538
*,Grainger,*,539
*,Grundy,*,540
*,Hamblen,*,541
*,Hardeman,*,542
*,Hawkins,*,543
*,Loudon,*,544
*,Maury,*,545
*,McMinn,*,546
*,McNairy,*,547
*,Meigs,*,548
*,Obion,*,549
*,Overton,*,550
*,Pickett,*,551
*,Rhea,*,552
*,Roane,*,553
*,Sequatchie,*,554
*,Sevier,*,555
*,Sullivan,*,556
*,Sumner,*,557
*,Tipton,*,558
*,Trousdale,*,559
*,Unicoi,*,560
*,Van Buren,*,561
*,Weakley,*,562
*,Williamson,*,563
*,Accomack,*,564
*,Albemarle,*,565
*,Alexandria city,*,566
*,Amelia,*,567
*,Amherst,*,568
*,Appomattox,*,569
*,Arlington,*,570
*,Augusta,*,571
*,Bland,*,572
*,Botetourt,*,573
*,Bristol city,*,574
*,Buchanan,*,575
*,Buckingham,*,576
*,Buena Vista city,*,577
*,Charles City,*,578
*,Charlottesville city,*,579
*,Chesapeake city,*,580
*,Colonial Heights city,*,581
*,Covington city,*,582
*,Craig,*,583
*,Culpeper,*,584
*,Danville city,*,585
*,Dickenson,*,586
*,Dinwiddie,*,587
*,Emporia city,*,588
*,Essex,*,589
*,Fairfax,*,590
*,Fairfax city,*,591
*,Falls Church city,*,592
*,Fauquier,*,593
*,Fluvanna,*,594
*,Franklin city,*,595
*,Fredericksburg city,*,596
*,Galax city,*,597
*,Gloucester,*,598
*,Goochland,*,599
*,Greensville,*,600
*,Hampton city,*,601
*,Hanover,*,602
*,Harrisonburg city,*,603
*,Henrico,*,604
*,Highland,*,605
*,Hopewell city,*,606
*,Isle of Wight,*,607
*,James City,*,608
*,King George,*,609
*,King William,*,610
*,King and Queen,*,611
*,Lexington city,*,612
*,Loudoun,*,613
*,Louisa,*,614
*,Lunenburg,*,615
*,Lynchburg city,*,616
*,Manassas Park city,*,617
*,Manassas city,*,618
*,Martinsville city,*,619
*,Mathews,*,620
*,Middlesex,*,621
*,New Kent,*,622
*,Newport News city,*,623
*,Norfolk city,*,624
*,Northumberland,*,625
*,Norton city,*,626
*,Nottoway,*,627
*,Page,*,628
*,Patrick,*,629
*,Petersburg city,*,630
*,Pittsylvania,*,631
*,Poquoson city,*,632
*,Portsmouth city,*,633
*,Powhatan,*,634
*,Prince Edward,*,635
*,Prince George,*,636
*,Prince William,*,637
*,Radford city,*,638
*,Rappahannock,*,639
*,Richmond city,*,640
*,Roanoke,*,641
*,Roanoke city,*,642
*,Rockbridge,*,643
*,Salem city,*,644
*,Shenandoah,*,645
*,Smyth,*,646
*,Southampton,*,647
*,Spotsylvania,*,648
*,Stafford,*,649
*,Staunton city,*,650
*,Suffolk city,*,651
*,Tazewell,*,652
*,Virginia Beach city,*,653
*,Waynesboro city,*,654
*,Westmoreland,*,655
*,Williamsburg city,*,656
*,Winchester city,*,657
*,Wise,*,658
*,Wythe,*,659
*,Braxton,*,660
*,Brooke,*,661
*,Cabell,*,662
*,Doddridge,*,663
*,Greenbrier,*,664
*,Hampshire,*,665
*,Hardy,*,666
*,Kanawha,*,667
*,Mineral,*,668
*,Mingo,*,669
*,Monongalia,*,670
*,Pleasants,*,671
*,Pocahontas,*,672
*,Preston,*,673
*,Raleigh,*,674
*,Ritchie,*,675
*,Summers,*,676
*,Tucker,*,677
*,Tyler,*,678
*,Upshur,*,679
*,Wetzel,*,680
*,Wirt,*,681
*,Wood,*,682
*,Wyoming,*,683
2021/1/20,Autauga,*,684
2021/1/20,Baldwin,*,685
2021/1/20,Barbour,*,686
2021/1/20,Bibb,*,687
2021/1/20,Blount,*,688
2021/1/20,Bullock,*,689
2021/1/20,Butler,*,690
2021/1/20,Calhoun,*,691
2021/1/20,Chambers,*,692
2021/1/20,Cherokee,*,693
2021/1/20,Chilton,*,694
2021/1/20,Choctaw,*,695
2021/1/20,Clarke,*,696
2021/1/20,Clay,*,697
2021/1/20,Cleburne,*,698
2021/1/20,Coffee,*,699
2021/1/20,Colbert,*,700
2021/1/20,Conecuh,*,701
2021/1/20,Coosa,*,702
2021/1/20,Covington,*,703
2021/1/20,Crenshaw,*,704
2021/1/20,Cullman,*,705
2021/1/20,Dale,*,706
2021/1/20,Dallas,*,707
2021/1/20,DeKalb,*,708
2021/1/20,Elmore,*,709
2021/1/20,Escambia,*,710
2021/1/20,Etowah,*,711
2021/1/20,Fayette,*,712
2021/1/20,Franklin,*,713
2021/1/20,Geneva,*,714
2021/1/20,Greene,*,715
2021/1/20,Hale,*,716
2021/1/20,Henry,*,717
2021/1/20,Houston,*,718
2021/1/20,Jackson,*,719
2021/1/20,Jefferson,*,720
