Year,State,Producer Type,Energy Source,CO2 (kt),SO2 kt,cid
1990,AK,Commercial Cogen,Coal,821.929,13.191,0
1991,AK,Commercial Cogen,Coal,848.745,8.359,1
1992,AK,Commercial Cogen,Coal,860.878,8.469,2
1993,AK,Commercial Cogen,Coal,858.244,8.393,3
1994,AK,Commercial Cogen,Coal,866.661,8.88,4
1995,AK,Commercial Cogen,Coal,883.639,7.824,5
1996,AK,Commercial Cogen,Coal,855.508,7.927,6
1997,AK,Commercial Cogen,Coal,900.737,8.132,7
1998,AK,Commercial Cogen,Coal,640.626,4.802,8
1999,AK,Commercial Cogen,Coal,658.91,4.702,9
2000,AK,Commercial Cogen,Coal,647.281,3.813,10
2001,AK,Commercial Cogen,Coal,595.987,0.714,11
2002,AK,Commercial Cogen,Coal,390.357,0.621,12
2003,AK,Commercial Cogen,Coal,703.098,1.29,13
2004,AK,Commercial Cogen,Coal,705.588,0.901,14
2005,AK,Commercial Cogen,Coal,699.467,1.401,15
2006,AK,Commercial Cogen,Coal,692.025,1.422,16
2007,AK,Commercial Cogen,Coal,704.9,1.455,17
2008,AK,Commercial Cogen,Coal,750.852,1.791,18
2009,AK,Commercial Cogen,Coal,720.938,1.713,19
2010,AK,Commercial Cogen,Coal,723.229,1.615,20
2011,AK,Commercial Cogen,Coal,827.001,1.744,21
2012,AK,Commercial Cogen,Coal,830.471,1.788,22
2013,AK,Commercial Cogen,Coal,349.232,0.775,23
2014,AK,Commercial Cogen,Coal,341.306,0.702,24
2015,AK,Commercial Cogen,Coal,345.371,0.701,25
1991,AK,Commercial Cogen,Natural Gas,0,0.002,26
1992,AK,Commercial Cogen,Natural Gas,0,0,27
2007,AK,Commercial Cogen,Natural Gas,0.552,0,28
2010,AK,Commercial Cogen,Natural Gas,0.789,0,29
2011,AK,Commercial Cogen,Natural Gas,3.394,0,30
2012,AK,Commercial Cogen,Natural Gas,3.053,0,31
2013,AK,Commercial Cogen,Natural Gas,11.874,0,32
2014,AK,Commercial Cogen,Natural Gas,2.98,0,33
1990,AK,Commercial Cogen,Petroleum,2.075,0.006,34
1991,AK,Commercial Cogen,Petroleum,2.677,0.008,35
1992,AK,Commercial Cogen,Petroleum,2.542,0.008,36
1993,AK,Commercial Cogen,Petroleum,1.509,0.005,37
1994,AK,Commercial Cogen,Petroleum,7.849,0.025,38
1995,AK,Commercial Cogen,Petroleum,3.865,0.008,39
1996,AK,Commercial Cogen,Petroleum,3.735,0.008,40
1997,AK,Commercial Cogen,Petroleum,33.821,0.07,41
1998,AK,Commercial Cogen,Petroleum,0.805,0.002,42
1999,AK,Commercial Cogen,Petroleum,7.43,0.018,43
2000,AK,Commercial Cogen,Petroleum,10.798,0.025,44
2001,AK,Commercial Cogen,Petroleum,4.017,0.018,45
2002,AK,Commercial Cogen,Petroleum,14.233,0.036,46
2003,AK,Commercial Cogen,Petroleum,11.546,0.028,47
2004,AK,Commercial Cogen,Petroleum,17.57,0.049,48
2005,AK,Commercial Cogen,Petroleum,14.246,0.034,49
2006,AK,Commercial Cogen,Petroleum,10.279,0.03,50
2007,AK,Commercial Cogen,Petroleum,13.481,0.032,51
2008,AK,Commercial Cogen,Petroleum,9.177,0.034,52
2009,AK,Commercial Cogen,Petroleum,13.261,0.034,53
2010,AK,Commercial Cogen,Petroleum,9.98,0.007,54
2011,AK,Commercial Cogen,Petroleum,4.87,0.003,55
2012,AK,Commercial Cogen,Petroleum,10.431,0,56
2013,AK,Commercial Cogen,Petroleum,7.749,0.014,57
2014,AK,Commercial Cogen,Petroleum,5.24,0.009,58
2015,AK,Commercial Cogen,Petroleum,10.25,0.018,59
1997,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,60
2003,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,61
2005,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,62
2006,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,63
2007,AK,Commercial Cogen,Wood and Wood Derived Fuels,0,0,64
1990,AR,Commercial Cogen,Natural Gas,21.142,0,65
1991,AR,Commercial Cogen,Natural Gas,23.421,0,66
1992,AR,Commercial Cogen,Natural Gas,23.588,0,67
1993,AR,Commercial Cogen,Natural Gas,24.863,0,68
1994,AR,Commercial Cogen,Natural Gas,23.952,0,69
1995,AR,Commercial Cogen,Natural Gas,24.941,0,70
1996,AR,Commercial Cogen,Natural Gas,25.145,0,71
1997,AR,Commercial Cogen,Natural Gas,25.456,0,72
1998,AR,Commercial Cogen,Natural Gas,24.964,0,73
1999,AR,Commercial Cogen,Natural Gas,5.866,0,74
2000,AR,Commercial Cogen,Natural Gas,4.199,0,75
2001,AR,Commercial Cogen,Natural Gas,3.815,0,76
2002,AR,Commercial Cogen,Natural Gas,3.389,0,77
2003,AR,Commercial Cogen,Natural Gas,1.187,0,78
2008,AR,Commercial Cogen,Natural Gas,0.367,0,79
2009,AR,Commercial Cogen,Natural Gas,0.492,0,80
2010,AR,Commercial Cogen,Natural Gas,0.574,0,81
2011,AR,Commercial Cogen,Natural Gas,0.249,0,82
2012,AR,Commercial Cogen,Natural Gas,0.376,0,83
2013,AR,Commercial Cogen,Natural Gas,0.594,0,84
2014,AR,Commercial Cogen,Natural Gas,1.266,0,85
2015,AR,Commercial Cogen,Natural Gas,1.623,0,86
1990,AR,Commercial Cogen,Other,0,0,87
1991,AR,Commercial Cogen,Other,0,0,88
1992,AR,Commercial Cogen,Other,0,0,89
1993,AR,Commercial Cogen,Other,0,0,90
1994,AR,Commercial Cogen,Other,0,0,91
1995,AR,Commercial Cogen,Other Biomass,0,0,92
1996,AR,Commercial Cogen,Other Biomass,0,0,93
1997,AR,Commercial Cogen,Other Biomass,0,0,94
1998,AR,Commercial Cogen,Other Biomass,0,0,95
1999,AR,Commercial Cogen,Other Biomass,0,0,96
2000,AR,Commercial Cogen,Other Biomass,0,0,97
2001,AR,Commercial Cogen,Other Biomass,0,0,98
2008,AR,Commercial Cogen,Other Biomass,0,0,99
2009,AR,Commercial Cogen,Other Biomass,0,0,100
2010,AR,Commercial Cogen,Other Biomass,0,0,101
2011,AR,Commercial Cogen,Other Biomass,0,0,102
2012,AR,Commercial Cogen,Other Biomass,0,0,103
2013,AR,Commercial Cogen,Other Biomass,0,0,104
2014,AR,Commercial Cogen,Other Biomass,0,0,105
2015,AR,Commercial Cogen,Other Biomass,0,0,106
1990,AR,Commercial Cogen,Petroleum,2.845,0.002,107
1991,AR,Commercial Cogen,Petroleum,2.716,0.002,108
1992,AR,Commercial Cogen,Petroleum,2.759,0.002,109
1993,AR,Commercial Cogen,Petroleum,2.858,0.002,110
1994,AR,Commercial Cogen,Petroleum,2.931,0.002,111
1995,AR,Commercial Cogen,Petroleum,3.052,0.007,112
1996,AR,Commercial Cogen,Petroleum,3.508,0.007,113
1997,AR,Commercial Cogen,Petroleum,4.554,0.009,114
1998,AR,Commercial Cogen,Petroleum,4.184,0.01,115
1999,AR,Commercial Cogen,Petroleum,0.921,0.002,116
2000,AR,Commercial Cogen,Petroleum,0.319,0.001,117
2003,AR,Commercial Cogen,Petroleum,0.132,0,118
1990,AZ,Commercial Cogen,Natural Gas,18.476,0,119
1991,AZ,Commercial Cogen,Natural Gas,7.377,0,120
1992,AZ,Commercial Cogen,Natural Gas,18.476,0,121
1993,AZ,Commercial Cogen,Natural Gas,22.664,0,122
1994,AZ,Commercial Cogen,Natural Gas,25.785,0,123
1995,AZ,Commercial Cogen,Natural Gas,23.479,0,124
1996,AZ,Commercial Cogen,Natural Gas,14.472,0,125
1997,AZ,Commercial Cogen,Natural Gas,14.059,0,126
1998,AZ,Commercial Cogen,Natural Gas,12.894,0,127
1999,AZ,Commercial Cogen,Natural Gas,20.443,0,128
2000,AZ,Commercial Cogen,Natural Gas,15.005,0,129
2001,AZ,Commercial Cogen,Natural Gas,12.444,0,130
2002,AZ,Commercial Cogen,Natural Gas,9.864,0,131
2003,AZ,Commercial Cogen,Natural Gas,8.797,0,132
2004,AZ,Commercial Cogen,Natural Gas,39.853,0,133
2005,AZ,Commercial Cogen,Natural Gas,28.173,0,134
2006,AZ,Commercial Cogen,Natural Gas,46.542,0,135
2007,AZ,Commercial Cogen,Natural Gas,45.607,0,136
2008,AZ,Commercial Cogen,Natural Gas,45.55,0,137
2009,AZ,Commercial Cogen,Natural Gas,51.918,0,138
2010,AZ,Commercial Cogen,Natural Gas,47.994,0,139
2011,AZ,Commercial Cogen,Natural Gas,44.28,0,140
2012,AZ,Commercial Cogen,Natural Gas,70.498,0,141
2013,AZ,Commercial Cogen,Natural Gas,101.116,0,142
2014,AZ,Commercial Cogen,Natural Gas,82.958,0,143
2015,AZ,Commercial Cogen,Natural Gas,68.283,0,144
1999,AZ,Commercial Cogen,Other Biomass,0,0,145
2000,AZ,Commercial Cogen,Other Biomass,0,0,146
2001,AZ,Commercial Cogen,Other Biomass,0,0,147
2002,AZ,Commercial Cogen,Other Biomass,0,0,148
2003,AZ,Commercial Cogen,Other Biomass,0,0,149
2006,AZ,Commercial Cogen,Other Biomass,0,0,150
2007,AZ,Commercial Cogen,Other Biomass,0,0,151
2008,AZ,Commercial Cogen,Other Biomass,0,0,152
2009,AZ,Commercial Cogen,Other Biomass,0,0,153
2010,AZ,Commercial Cogen,Other Biomass,0,0,154
2011,AZ,Commercial Cogen,Other Biomass,0,0,155
2012,AZ,Commercial Cogen,Other Biomass,0,0,156
1990,AZ,Commercial Cogen,Petroleum,1.204,0.004,157
1992,AZ,Commercial Cogen,Petroleum,1.204,0.001,158
1993,AZ,Commercial Cogen,Petroleum,0.859,0.001,159
1994,AZ,Commercial Cogen,Petroleum,1.262,0.001,160
1995,AZ,Commercial Cogen,Petroleum,1.262,0.003,161
1996,AZ,Commercial Cogen,Petroleum,0.776,0.002,162
1997,AZ,Commercial Cogen,Petroleum,0.66,0.001,163
1998,AZ,Commercial Cogen,Petroleum,1.245,0.003,164
1999,AZ,Commercial Cogen,Petroleum,3.209,0.007,165
2000,AZ,Commercial Cogen,Petroleum,0.124,0,166
2001,AZ,Commercial Cogen,Petroleum,0.494,0.001,167
2002,AZ,Commercial Cogen,Petroleum,0.125,0,168
1990,CA,Commercial Cogen,Natural Gas,887.033,0.004,169
1991,CA,Commercial Cogen,Natural Gas,767.827,0.002,170
1992,CA,Commercial Cogen,Natural Gas,910.744,0.003,171
1993,CA,Commercial Cogen,Natural Gas,949.976,0.004,172
1994,CA,Commercial Cogen,Natural Gas,1088.638,0.005,173
1995,CA,Commercial Cogen,Natural Gas,1108.046,0.005,174
1996,CA,Commercial Cogen,Natural Gas,1289.318,0.005,175
1997,CA,Commercial Cogen,Natural Gas,1742.476,0.007,176
1998,CA,Commercial Cogen,Natural Gas,1629.115,0.006,177
1999,CA,Commercial Cogen,Natural Gas,1644.861,0.007,178
2000,CA,Commercial Cogen,Natural Gas,1819.51,0.008,179
2001,CA,Commercial Cogen,Natural Gas,1726.504,0.003,180
2002,CA,Commercial Cogen,Natural Gas,1695.729,0.003,181
2003,CA,Commercial Cogen,Natural Gas,1065.178,0.004,182
2004,CA,Commercial Cogen,Natural Gas,1315.59,0.006,183
2005,CA,Commercial Cogen,Natural Gas,1129.67,0.002,184
2006,CA,Commercial Cogen,Natural Gas,1132.918,0.003,185
2007,CA,Commercial Cogen,Natural Gas,1255.957,0.005,186
2008,CA,Commercial Cogen,Natural Gas,1137.744,0.003,187
2009,CA,Commercial Cogen,Natural Gas,1533.041,0.005,188
2010,CA,Commercial Cogen,Natural Gas,1878.736,0.007,189
2011,CA,Commercial Cogen,Natural Gas,1316.052,0.005,190
2012,CA,Commercial Cogen,Natural Gas,1414.165,0.005,191
2013,CA,Commercial Cogen,Natural Gas,1108.747,0.001,192
2014,CA,Commercial Cogen,Natural Gas,1233.232,0.001,193
2015,CA,Commercial Cogen,Natural Gas,1257.78,0.003,194
1990,CA,Commercial Cogen,Other,0,0,195
1991,CA,Commercial Cogen,Other,0,0,196
1992,CA,Commercial Cogen,Other,0,0,197
1993,CA,Commercial Cogen,Other,0,0,198
1994,CA,Commercial Cogen,Other,0.002,0,199
2003,CA,Commercial Cogen,Other,0,0,200
2007,CA,Commercial Cogen,Other,0,0,201
2010,CA,Commercial Cogen,Other,0,0,202
2011,CA,Commercial Cogen,Other,0,0,203
1995,CA,Commercial Cogen,Other Biomass,0,0.001,204
1996,CA,Commercial Cogen,Other Biomass,0,0.001,205
1997,CA,Commercial Cogen,Other Biomass,0,0.001,206
1998,CA,Commercial Cogen,Other Biomass,0,0.001,207
1999,CA,Commercial Cogen,Other Biomass,0,0.001,208
2000,CA,Commercial Cogen,Other Biomass,0,0.001,209
2001,CA,Commercial Cogen,Other Biomass,0,0,210
2002,CA,Commercial Cogen,Other Biomass,0,0,211
2003,CA,Commercial Cogen,Other Biomass,0,0.001,212
2004,CA,Commercial Cogen,Other Biomass,0,0.001,213
2005,CA,Commercial Cogen,Other Biomass,0,0.001,214
2006,CA,Commercial Cogen,Other Biomass,0,0.001,215
2007,CA,Commercial Cogen,Other Biomass,0,0.001,216
2008,CA,Commercial Cogen,Other Biomass,0,0.001,217
2009,CA,Commercial Cogen,Other Biomass,0,0.001,218
2010,CA,Commercial Cogen,Other Biomass,0,0.001,219
2011,CA,Commercial Cogen,Other Biomass,0,0.001,220
2012,CA,Commercial Cogen,Other Biomass,0,0.001,221
2013,CA,Commercial Cogen,Other Biomass,0,0.001,222
2014,CA,Commercial Cogen,Other Biomass,0,0.001,223
2015,CA,Commercial Cogen,Other Biomass,0,0.001,224
1996,CA,Commercial Cogen,Other Gases,0.003,0,225
1997,CA,Commercial Cogen,Other Gases,0.008,0,226
1998,CA,Commercial Cogen,Other Gases,0.158,0,227
1999,CA,Commercial Cogen,Other Gases,0.008,0,228
2000,CA,Commercial Cogen,Other Gases,0.036,0,229
2001,CA,Commercial Cogen,Other Gases,0.004,0,230
2002,CA,Commercial Cogen,Other Gases,0.009,0,231
1990,CA,Commercial Cogen,Petroleum,11.462,0.026,232
1991,CA,Commercial Cogen,Petroleum,1.924,0.007,233
1992,CA,Commercial Cogen,Petroleum,2.447,0.005,234
1993,CA,Commercial Cogen,Petroleum,2.743,0.002,235
1994,CA,Commercial Cogen,Petroleum,1.861,0.004,236
1995,CA,Commercial Cogen,Petroleum,26.75,0.114,237
1996,CA,Commercial Cogen,Petroleum,32.356,0.127,238
1997,CA,Commercial Cogen,Petroleum,65.506,0.254,239
1998,CA,Commercial Cogen,Petroleum,2.523,0.006,240
1999,CA,Commercial Cogen,Petroleum,1.259,0.002,241
2000,CA,Commercial Cogen,Petroleum,1.043,0.001,242
2001,CA,Commercial Cogen,Petroleum,0.719,0,243
2002,CA,Commercial Cogen,Petroleum,0.961,0,244
2003,CA,Commercial Cogen,Petroleum,0.374,0,245
2004,CA,Commercial Cogen,Petroleum,0.733,0,246
2005,CA,Commercial Cogen,Petroleum,1.013,0,247
2006,CA,Commercial Cogen,Petroleum,0.508,0,248
2007,CA,Commercial Cogen,Petroleum,0.376,0,249
2008,CA,Commercial Cogen,Petroleum,0.593,0,250
2009,CA,Commercial Cogen,Petroleum,0.499,0,251
2010,CA,Commercial Cogen,Petroleum,0.53,0,252
2011,CA,Commercial Cogen,Petroleum,0.598,0,253
2012,CA,Commercial Cogen,Petroleum,0.533,0,254
2013,CA,Commercial Cogen,Petroleum,0.478,0,255
2014,CA,Commercial Cogen,Petroleum,0.738,0,256
2015,CA,Commercial Cogen,Petroleum,0.487,0,257
1992,CO,Commercial Cogen,Natural Gas,29.608,0,258
1993,CO,Commercial Cogen,Natural Gas,107.993,0.001,259
1994,CO,Commercial Cogen,Natural Gas,112.906,0.001,260
1995,CO,Commercial Cogen,Natural Gas,119.74,0.001,261
1996,CO,Commercial Cogen,Natural Gas,118.498,0.001,262
1997,CO,Commercial Cogen,Natural Gas,109.271,0.001,263
1998,CO,Commercial Cogen,Natural Gas,107.064,0.001,264
1999,CO,Commercial Cogen,Natural Gas,102.768,0.001,265
2000,CO,Commercial Cogen,Natural Gas,110.594,0.001,266
2001,CO,Commercial Cogen,Natural Gas,105.152,0.001,267
2002,CO,Commercial Cogen,Natural Gas,6.485,0,268
2003,CO,Commercial Cogen,Natural Gas,85.369,0,269
2004,CO,Commercial Cogen,Natural Gas,69.206,0,270
2005,CO,Commercial Cogen,Natural Gas,61.896,0,271
2006,CO,Commercial Cogen,Natural Gas,45.342,0,272
2007,CO,Commercial Cogen,Natural Gas,51.032,0,273
2008,CO,Commercial Cogen,Natural Gas,38.205,0,274
2009,CO,Commercial Cogen,Natural Gas,10.314,0,275
2010,CO,Commercial Cogen,Natural Gas,3.459,0,276
2011,CO,Commercial Cogen,Natural Gas,4.508,0,277
2012,CO,Commercial Cogen,Natural Gas,4.287,0,278
2013,CO,Commercial Cogen,Natural Gas,9.223,0,279
2014,CO,Commercial Cogen,Natural Gas,7.963,0,280
2015,CO,Commercial Cogen,Natural Gas,0.612,0,281
1992,CO,Commercial Cogen,Petroleum,1.355,0.005,282
1993,CO,Commercial Cogen,Petroleum,0.063,0,283
1996,CO,Commercial Cogen,Petroleum,2.41,0.005,284
1997,CO,Commercial Cogen,Petroleum,0.48,0.002,285
1998,CO,Commercial Cogen,Petroleum,0.449,0.001,286
1999,CO,Commercial Cogen,Petroleum,0.153,0,287
2000,CO,Commercial Cogen,Petroleum,0.027,0,288
2004,CO,Commercial Cogen,Petroleum,0.06,0,289
2005,CO,Commercial Cogen,Petroleum,0.01,0,290
2006,CO,Commercial Cogen,Petroleum,0.258,0,291
2007,CO,Commercial Cogen,Petroleum,0.083,0,292
2008,CO,Commercial Cogen,Petroleum,0.003,0,293
2009,CO,Commercial Cogen,Petroleum,0.023,0,294
2010,CO,Commercial Cogen,Petroleum,0.003,0,295
2011,CO,Commercial Cogen,Petroleum,0.031,0,296
2013,CO,Commercial Cogen,Petroleum,0.153,0,297
2014,CO,Commercial Cogen,Petroleum,0.01,0,298
2015,CO,Commercial Cogen,Petroleum,0,0,299
1990,CT,Commercial Cogen,Natural Gas,59.131,0,300
1991,CT,Commercial Cogen,Natural Gas,65.741,0,301
1992,CT,Commercial Cogen,Natural Gas,69.469,0,302
1993,CT,Commercial Cogen,Natural Gas,58.037,0,303
1994,CT,Commercial Cogen,Natural Gas,60.663,0,304
1995,CT,Commercial Cogen,Natural Gas,64.546,0,305
1996,CT,Commercial Cogen,Natural Gas,61.647,0,306
1997,CT,Commercial Cogen,Natural Gas,34.614,0,307
1998,CT,Commercial Cogen,Natural Gas,4.835,0,308
1999,CT,Commercial Cogen,Natural Gas,42.88,0,309
2000,CT,Commercial Cogen,Natural Gas,42.731,0,310
2001,CT,Commercial Cogen,Natural Gas,37.47,0,311
2002,CT,Commercial Cogen,Natural Gas,44.914,0,312
2003,CT,Commercial Cogen,Natural Gas,28.32,0,313
2004,CT,Commercial Cogen,Natural Gas,43.65,0,314
2005,CT,Commercial Cogen,Natural Gas,39.462,0,315
2006,CT,Commercial Cogen,Natural Gas,39.03,0,316
2007,CT,Commercial Cogen,Natural Gas,43.694,0,317
2008,CT,Commercial Cogen,Natural Gas,43.77,0,318
2009,CT,Commercial Cogen,Natural Gas,48.357,0,319
2010,CT,Commercial Cogen,Natural Gas,77.387,0,320
2011,CT,Commercial Cogen,Natural Gas,163.727,0,321
2012,CT,Commercial Cogen,Natural Gas,296.609,0,322
2013,CT,Commercial Cogen,Natural Gas,258.54,0.001,323
2014,CT,Commercial Cogen,Natural Gas,327.62,0.001,324
2015,CT,Commercial Cogen,Natural Gas,267.025,0,325
1990,CT,Commercial Cogen,Petroleum,4.967,0.179,326
1991,CT,Commercial Cogen,Petroleum,2.399,0.002,327
1992,CT,Commercial Cogen,Petroleum,1.351,0.001,328
1993,CT,Commercial Cogen,Petroleum,2.138,0.002,329
1994,CT,Commercial Cogen,Petroleum,2.715,0.002,330
1995,CT,Commercial Cogen,Petroleum,0.387,0.001,331
1996,CT,Commercial Cogen,Petroleum,0.682,0.001,332
1997,CT,Commercial Cogen,Petroleum,0.435,0.001,333
1998,CT,Commercial Cogen,Petroleum,0.637,0.001,334
1999,CT,Commercial Cogen,Petroleum,0.878,0.002,335
2000,CT,Commercial Cogen,Petroleum,2.126,0.004,336
2001,CT,Commercial Cogen,Petroleum,9.15,0.014,337
2003,CT,Commercial Cogen,Petroleum,1.02,0.001,338
2004,CT,Commercial Cogen,Petroleum,2.003,0.003,339
2005,CT,Commercial Cogen,Petroleum,0.81,0.001,340
2006,CT,Commercial Cogen,Petroleum,0.51,0.001,341
2008,CT,Commercial Cogen,Petroleum,0.113,0,342
2012,CT,Commercial Cogen,Petroleum,0.029,0,343
2013,CT,Commercial Cogen,Petroleum,1.082,0.002,344
2014,CT,Commercial Cogen,Petroleum,5.336,0.009,345
2015,CT,Commercial Cogen,Petroleum,8.202,0.014,346
2014,DC,Commercial Cogen,Natural Gas,48.396,0,347
2015,DC,Commercial Cogen,Natural Gas,35.389,0,348
2015,DC,Commercial Cogen,Petroleum,0.212,0,349
1990,FL,Commercial Cogen,Natural Gas,134.081,0,350
1991,FL,Commercial Cogen,Natural Gas,158.297,0.001,351
1992,FL,Commercial Cogen,Natural Gas,146.926,0,352
1993,FL,Commercial Cogen,Natural Gas,140.402,0,353
1994,FL,Commercial Cogen,Natural Gas,114.383,0,354
1995,FL,Commercial Cogen,Natural Gas,63.911,0,355
1996,FL,Commercial Cogen,Natural Gas,65.188,0,356
1997,FL,Commercial Cogen,Natural Gas,68.472,0,357
1998,FL,Commercial Cogen,Natural Gas,70.125,0,358
1999,FL,Commercial Cogen,Natural Gas,71.519,0,359
2000,FL,Commercial Cogen,Natural Gas,64.476,0,360
2001,FL,Commercial Cogen,Natural Gas,55.171,0,361
2002,FL,Commercial Cogen,Natural Gas,55.998,0,362
2003,FL,Commercial Cogen,Natural Gas,47.222,0,363
2004,FL,Commercial Cogen,Natural Gas,54.136,0,364
2005,FL,Commercial Cogen,Natural Gas,56.293,0,365
2006,FL,Commercial Cogen,Natural Gas,55.683,0,366
2007,FL,Commercial Cogen,Natural Gas,38.543,0,367
2008,FL,Commercial Cogen,Natural Gas,221.455,0,368
2009,FL,Commercial Cogen,Natural Gas,188.001,0.001,369
2010,FL,Commercial Cogen,Natural Gas,152.909,0.001,370
2011,FL,Commercial Cogen,Natural Gas,19.973,0,371
2012,FL,Commercial Cogen,Natural Gas,19.401,0,372
2013,FL,Commercial Cogen,Natural Gas,20.723,0,373
2014,FL,Commercial Cogen,Natural Gas,22.617,0,374
2015,FL,Commercial Cogen,Natural Gas,21.625,0,375
1995,FL,Commercial Cogen,Other Biomass,0,0,376
1996,FL,Commercial Cogen,Other Biomass,0,0,377
1997,FL,Commercial Cogen,Other Biomass,0,0,378
1998,FL,Commercial Cogen,Other Biomass,0,0,379
1999,FL,Commercial Cogen,Other Biomass,0,0,380
2000,FL,Commercial Cogen,Other Biomass,0,0,381
2001,FL,Commercial Cogen,Other Biomass,0,0,382
2003,FL,Commercial Cogen,Other Biomass,0,0,383
2004,FL,Commercial Cogen,Other Biomass,0,0,384
2005,FL,Commercial Cogen,Other Biomass,0,0,385
2006,FL,Commercial Cogen,Other Biomass,0,0,386
2007,FL,Commercial Cogen,Other Biomass,0,0,387
2008,FL,Commercial Cogen,Other Biomass,0,0,388
2009,FL,Commercial Cogen,Other Biomass,0,0,389
2010,FL,Commercial Cogen,Other Biomass,0,0,390
2011,FL,Commercial Cogen,Other Biomass,0,0,391
2012,FL,Commercial Cogen,Other Biomass,0,0,392
2013,FL,Commercial Cogen,Other Biomass,0,0,393
2014,FL,Commercial Cogen,Other Biomass,0,0,394
2015,FL,Commercial Cogen,Other Biomass,0,0,395
1990,FL,Commercial Cogen,Petroleum,0.054,0.22,396
1991,FL,Commercial Cogen,Petroleum,0.045,0.312,397
1992,FL,Commercial Cogen,Petroleum,0.954,0.222,398
1993,FL,Commercial Cogen,Petroleum,0.742,0.192,399
1994,FL,Commercial Cogen,Petroleum,0.004,0.156,400
1995,FL,Commercial Cogen,Petroleum,0.163,0.198,401
1996,FL,Commercial Cogen,Petroleum,0.519,0.163,402
1997,FL,Commercial Cogen,Petroleum,0.472,0.001,403
1998,FL,Commercial Cogen,Petroleum,0.425,0.001,404
1999,FL,Commercial Cogen,Petroleum,0.36,0.001,405
2000,FL,Commercial Cogen,Petroleum,0.137,0,406
2006,FL,Commercial Cogen,Petroleum,0.015,0,407
2010,GA,Commercial Cogen,Other Biomass,0,0,408
2011,GA,Commercial Cogen,Other Biomass,0,0,409
2012,GA,Commercial Cogen,Other Biomass,0,0,410
2013,GA,Commercial Cogen,Other Biomass,0,0,411
2014,GA,Commercial Cogen,Other Biomass,0,0,412
2015,GA,Commercial Cogen,Other Biomass,0,0,413
1990,GA,Commercial Cogen,Petroleum,0,0,414
1991,GA,Commercial Cogen,Petroleum,0,0,415
1992,GA,Commercial Cogen,Petroleum,0,0,416
1993,GA,Commercial Cogen,Petroleum,0,0,417
1994,GA,Commercial Cogen,Petroleum,0,0,418
1995,GA,Commercial Cogen,Petroleum,0,0.002,419
1996,GA,Commercial Cogen,Petroleum,0,0,420
1998,GA,Commercial Cogen,Petroleum,0.603,0.001,421
1999,GA,Commercial Cogen,Petroleum,0.348,0.001,422
2000,GA,Commercial Cogen,Petroleum,0.278,0,423
2001,GA,Commercial Cogen,Petroleum,0.088,0,424
2002,GA,Commercial Cogen,Petroleum,0.152,0,425
2003,GA,Commercial Cogen,Petroleum,0.03,0,426
2004,GA,Commercial Cogen,Petroleum,0.034,0,427
2005,GA,Commercial Cogen,Petroleum,0.051,0,428
2007,GA,Commercial Cogen,Petroleum,0.888,0.002,429
1990,IA,Commercial Cogen,Coal,59.262,0.174,430
1991,IA,Commercial Cogen,Coal,73.009,0.214,431
1992,IA,Commercial Cogen,Coal,72.082,0.215,432
1993,IA,Commercial Cogen,Coal,243.042,2.89,433
1994,IA,Commercial Cogen,Coal,233.388,2.706,434
1995,IA,Commercial Cogen,Coal,220.077,1.284,435
1996,IA,Commercial Cogen,Coal,300.126,2.338,436
1997,IA,Commercial Cogen,Coal,325.541,2.878,437
1998,IA,Commercial Cogen,Coal,281.526,4.524,438
1999,IA,Commercial Cogen,Coal,306.038,2.036,439
2000,IA,Commercial Cogen,Coal,342.709,2.517,440
2001,IA,Commercial Cogen,Coal,312.464,2.753,441
2002,IA,Commercial Cogen,Coal,325.638,3.213,442
2003,IA,Commercial Cogen,Coal,615.305,4.601,443
2004,IA,Commercial Cogen,Coal,626.232,2.83,444
2005,IA,Commercial Cogen,Coal,637.773,5.271,445
2006,IA,Commercial Cogen,Coal,623.542,5.17,446
2007,IA,Commercial Cogen,Coal,611.532,4.692,447
2008,IA,Commercial Cogen,Coal,560.992,4.089,448
2009,IA,Commercial Cogen,Coal,582.035,4.106,449
2010,IA,Commercial Cogen,Coal,579.443,4.073,450
2011,IA,Commercial Cogen,Coal,540.418,5.91,451
2012,IA,Commercial Cogen,Coal,471.851,6.005,452
2013,IA,Commercial Cogen,Coal,460.426,4.412,453
2014,IA,Commercial Cogen,Coal,459.63,2.646,454
2015,IA,Commercial Cogen,Coal,383.62,1.437,455
1990,IA,Commercial Cogen,Natural Gas,8.774,0,456
1991,IA,Commercial Cogen,Natural Gas,2.402,0,457
1992,IA,Commercial Cogen,Natural Gas,2.589,0,458
1993,IA,Commercial Cogen,Natural Gas,53.558,0,459
1994,IA,Commercial Cogen,Natural Gas,71.829,0,460
1995,IA,Commercial Cogen,Natural Gas,77.319,0,461
1996,IA,Commercial Cogen,Natural Gas,31.636,0,462
1997,IA,Commercial Cogen,Natural Gas,20.721,0,463
1998,IA,Commercial Cogen,Natural Gas,34.953,0,464
1999,IA,Commercial Cogen,Natural Gas,30.642,0,465
