sid,cid
393,68
393,69
393,75
393,76
393,77
393,78
393,79
393,85
393,86
393,87
393,88
393,89
394,0
394,1
395,2
395,3
396,4
397,5
398,6
398,7
399,8
399,9
400,10
400,11
401,12
401,13
402,14
403,15
404,16
404,17
405,18
405,19
406,20
407,21
408,22
409,23
410,24
411,25
412,26
413,27
414,28
415,29
416,30
417,31
418,32
419,33
420,34
421,35
422,36
423,37
424,38
425,39
426,40
427,41
428,42
429,43
430,44
431,45
432,46
433,47
434,48
435,49
436,50
437,51
438,52
439,53
440,54
441,55
442,56
443,57
444,58
445,59
446,60
447,61
448,62
449,63
450,64
451,65
452,66
453,67
454,68
455,69
456,70
457,71
458,72
459,73
460,74
461,75
462,76
463,77
464,78
465,79
466,80
466,81
467,82
468,83
469,84
470,85
470,86
471,87
471,88
472,89
473,0
473,1
473,2
473,3
473,4
474,5
474,6
474,7
474,8
474,9
475,10
475,11
475,12
475,13
475,14
476,15
476,16
476,17
476,18
476,19
477,20
477,21
477,22
477,23
477,24
478,25
478,26
478,27
478,28
478,29
479,30
479,31
479,32
479,33
479,34
480,35
480,36
480,37
480,38
480,39
481,40
481,41
481,42
481,43
481,44
482,45
482,46
482,47
482,48
482,49
483,50
483,51
483,52
483,53
483,54
484,55
484,56
484,57
484,58
484,59
485,60
485,61
485,62
485,63
485,64
486,65
486,66
486,67
486,68
486,69
487,70
487,71
487,72
487,73
487,74
488,75
488,76
488,77
488,78
488,79
489,80
489,81
489,82
489,83
489,84
490,85
490,86
490,87
490,88
490,89
491,0
491,1
492,2
492,3
493,4
494,5
495,6
495,7
496,8
496,9
497,10
497,11
498,12
498,13
499,14
500,15
501,16
501,17
502,18
502,19
503,20
504,21
505,22
506,23
507,24
508,25
509,26
510,27
511,28
512,29
513,30
514,31
515,32
516,33
517,34
518,35
519,36
520,37
521,38
522,39
523,40
524,41
525,42
526,43
527,44
528,45
529,46
530,47
531,48
532,49
533,50
534,51
535,52
536,53
537,54
538,55
539,56
540,57
541,58
542,59
543,60
544,61
545,62
546,63
547,64
548,65
549,66
550,67
551,68
552,69
553,70
554,71
555,72
556,73
557,74
558,75
559,76
560,77
561,78
562,79
563,80
563,81
564,82
565,83
566,84
567,85
567,86
568,87
568,88
569,89
570,0
570,10
570,20
570,30
570,40
570,50
570,60
570,70
570,80
571,1
571,11
571,21
571,31
571,41
571,51
571,61
571,71
571,81
572,2
572,12
572,22
572,32
572,42
572,52
572,62
572,72
572,82
573,3
573,13
573,23
573,33
573,43
573,53
573,63
573,73
573,83
574,4
574,14
574,24
574,34
574,44
574,54
574,64
574,74
574,84
575,5
575,15
575,25
575,35
575,45
575,55
575,65
575,75
575,85
576,6
576,16
576,26
576,36
576,46
576,56
576,66
576,76
576,86
577,7
577,17
577,27
577,37
577,47
577,57
577,67
577,77
577,87
578,8
578,18
578,28
578,38
578,48
578,58
578,68
578,78
578,88
579,9
579,19
579,29
579,39
579,49
579,59
579,69
579,79
579,89
580,0
581,1
582,2
583,3
584,4
585,5
586,6
587,7
588,8
589,9
590,10
591,11
592,12
593,13
594,14
595,15
596,16
597,17
598,18
599,19
600,20
601,21
602,22
603,23
604,24
605,25
606,26
607,27
608,28
609,29
610,30
611,31
612,32
613,33
614,34
615,35
616,36
617,37
618,38
619,39
620,40
621,41
622,42
623,43
624,44
625,45
626,46
627,47
628,48
629,49
630,50
631,51
632,52
633,53
634,54
635,55
636,56
637,57
638,58
639,59
640,60
641,61
642,62
643,63
644,64
645,65
646,66
647,67
648,68
649,69
650,70
651,71
652,72
653,73
654,74
655,75
656,76
657,77
658,78
659,79
660,80
661,81
662,82
663,83
664,84
665,85
666,86
667,87
668,88
669,89
670,0
671,1
672,2
673,3
674,4
675,5
